매장명,도로명주소,매장유형,위도,경도
귀빈헤어샵,전남 완도군 완도읍 개포로 175,기타 개인 서비스업,34.3202789,126.7470043
㈜비지에프네트웍스 완도은성점,전라남도 완도군 완도읍 중앙길28,육상 운송 및 파이프라인 운송업,34.3132177,126.7581065
사또퓨전포차,전라남도 완도군 노화읍 노화로 840-1,음식점 및 주점업,34.1771537,126.573048
남.여 크로커다일,전라남도 완도군 완도읍 청해진남로 18,스포츠 및 오락관련 서비스업,34.3137036,126.7563926
계절의 맛 명성,전라남도 완도군 완도읍 개포로145번길 31,음식점 및 주점업,34.321684,126.7427623
한우동,전라남도 완도군 완도읍 개포로 154-6,음식점 및 주점업,34.3191315,126.7448407
영화당,전남 완도군 신지면 대곡리,식료품 제조업,34.3384,126.8301
에덴플라워,전라남도 완도군 완도읍 개포로114번길 33,식료품 제조업,34.3179426,126.7452195
천원백화점,전남 완도군 완도읍 군내리,소매업; 자동차 제외,34.3054,126.7629
랑스킨케어,전라남도 완도군 노화읍 노화로870번길 34-1,기타 개인 서비스업,34.1773239,126.5728709
오성선구점,전라남도 완도군 노화읍 노화로 689,소매업; 자동차 제외,34.1885527,126.5766433
완도종합가스,전라남도 완도군 완도읍 개포로135번길 16-61,소매업; 자동차 제외,34.3205683,126.7424729
이진희헤어컷,전라남도 완도군 완도읍 개포로114번길 37-8,기타 개인 서비스업,34.318513,126.7457796
완도밧데리산업,전남 완도군 완도읍 장보고대로 49,식료품 제조업,34.3277323237,126.7374701919
세븐일레븐 완도읍내점,전라남도 완도군 완도읍 개포로 11-5(1층),소매업; 자동차 제외,34.3168535,126.7509294
파라다이스,전라남도 완도군 신지면 명사십리길 85-91,숙박업,34.3274073,126.8081349
완도소안의원,전남 완도군 소안면 비자리,보건업,34.1779,126.6653
카페도담,전라남도 완도군 완도읍 개포로 111,음식점 및 주점업,34.3166726,126.7416692
금일한국의원,전남 완도군 금일읍 화목리,보건업,34.355733,127.019845
항아리속바다,전라남도 완도군 신지면 신상길 42-1,소매업; 자동차 제외,34.3301932,126.8507121
청해회센타,전라남도 완도군 소안면 소안로 7,소매업; 자동차 제외,34.1803578,126.6354849
일등식당,전남 완도군 약산면 장용리,음식점 및 주점업,34.380766,126.912382
완도이비인후과의원,전라남도 완도군 완도읍 개포로 151,보건업,34.3195071,126.7445755
신지식육식당,전라남도 완도군 신지면 신지로 516,식료품 제조업,34.3342733,126.8230047
씨유 완도주은점,전라남도 완도군 완도읍 청해진동로 5,소매업; 자동차 제외,34.3135021,126.7401568
바다풍경수산,전라남도 완도군 보길면 선창1길 48,식료품 제조업,34.1476123,126.505181
일로수산,전남 완도군 완도읍 가용리,소매업; 자동차 제외,34.3252,126.732
미래약국(김종인),전라남도 완도군 완도읍 장보고대로 174,보건업,34.3194862,126.7460005
스카이 당구클럽,전라남도 완도군 완도읍 청해진남로 42,소매업; 자동차 제외,34.3119828,126.7549159
구름이 머무는 자리,전라남도 완도군 약산면 약산일주로 461-1,음식점 및 주점업,34.3654891,126.9087453
고기대장정,전라남도 완도군 고금면 고금동로 19,소매업; 자동차 제외,34.3963181,126.8016723
두찜 완도점,전라남도 완도군 완도읍 개포로114번길 68-8,음식점 및 주점업,34.31935,126.748467
완도농협 군외지점 하나로마트,전남 완도군 군외면 원동리,소매업; 자동차 제외,34.388341,126.652753
완도지역자활센터,전라남도 완도군 완도읍 군내길 20-1,기타 개인 서비스업,34.3117423,126.7571959
씨너리,전라남도 완도군 완도읍 장보고대로 292-1,음식점 및 주점업,34.3147066,126.7568749
빙그레시네마,전라남도 완도군 완도읍 개포로159번길 55,소매업; 자동차 제외,34.3236772,126.7416563
완도밝은안과의원,전남 완도군 완도읍,보건업,34.316731,126.745525
"그랜드모텔, 사우나",전라남도 완도군 완도읍 개포로56번길 41,숙박업,34.3181935,126.7497895
완도약국,전남 완도군 완도읍,보건업,34.316731,126.745525
태성선구점,전남 완도군 노화읍 이포리,소매업; 자동차 제외,34.1854,126.5847
그린미용실,전라남도 완도군 금일읍 금일로 408,기타 개인 서비스업,34.3489781,127.0312872
삼양진대중음식점,전남 완도군 노화읍 신양리,음식점 및 주점업,34.212051,126.581025
한성면옥,전라남도 완도군 완도읍 장보고대로 251,음식점 및 주점업,34.3163475,126.7527653
완도부품,전라남도 완도군 완도읍 장보고대로 209,기타 개인 서비스업,34.3171277,126.7487741
쌍용완도부품,전남 완도군 완도읍,자동차 및 부품 판매업,34.316731,126.745525
GS25뉴완도청해점,전라남도 완도군 완도읍 개포로145번길 27,소매업; 자동차 제외,34.3213133,126.7429702
보길도 엄마 참전복,전라남도 완도군 보길면 청별길 10,소매업; 자동차 제외,34.1695726,126.5658911
빙그레주유소,전라남도 완도군 완도읍 장보고대로 335,소매업; 자동차 제외,34.3154629,126.7610938
정심관,전라남도 완도군 완도읍 개포로 146-7,스포츠 및 오락관련 서비스업,34.3188274,126.7444028
충만치킨,전라남도 완도군 완도읍 개포로114번길 20-4,음식점 및 주점업,34.3172376,126.7438946
해남식육점,전남 완도군 완도읍 군내리,소매업; 자동차 제외,34.3054,126.7629
돈카츠&화꾸어 완도점,전라남도 완도군 완도읍 개포로145번길 8-4,음식점 및 주점업,34.3196853,126.7440669
이춘봉인생치킨,전라남도 완도군 완도읍 청해진서로 5-2,음식점 및 주점업,34.3150472,126.7421352
팜스,전남 완도군 금일읍 화목리,소매업; 자동차 제외,34.355733,127.019845
오병이어,전남 완도군 완도읍,음식점 및 주점업,34.316731,126.745525
진미수산,전라남도 완도군 완도읍 장보고대로 282-2,식료품 제조업,34.3145761,126.755588
어업회사법인일로수산주식회사,전라남도 완도군 완도읍 청해진서로 3-4,식료품 제조업,34.3150644,126.7424071
샤브랑고기랑고금점,전라남도 완도군 고금면 고금로 594-5,음식점 및 주점업,34.3956578,126.8001688
완도 원투 복싱 클럽,전라남도 완도군 완도읍 개포로114번길 37-16,교육 서비스업,34.3187575,126.7455727
군산선구점,전라남도 완도군 완도읍 장보고대로 270-2,소매업; 자동차 제외,34.3151694,126.7544212
약손 바디샵,전라남도 완도군 완도읍 개포로 153,식료품 제조업,34.3196301,126.7448739
터미널슈퍼,전남 완도군 금당면,소매업; 자동차 제외,34.429901,127.071175
