매장명,도로명주소,매장유형,위도,경도
영문자원,전라남도 강진군 군동면 까치내로 14 영문자원,소매업; 자동차 제외,34.6446896,126.7884871
김가네,전라남도 강진군 강진읍 중앙로 113,음식점 및 주점업,34.63985,126.7689702
강진 태권도,전라남도 강진군 강진읍 중앙로 88,교육 서비스업,34.637991,126.7671781
장미화원,전라남도 강진군 강진읍 영랑로1길 16,소매업; 자동차 제외,34.63789,126.7708175
큐브 빌리지 글램핑,전라남도 강진군 대구면 청자로 1339-74,숙박업,34.5351483,126.8000116
보리가익어갈무렵,전라남도 강진군 강진읍 오감길 2,음식점 및 주점업,34.6391466,126.7735558
만도공업사,전라남도 강진군 강진읍 보은로 197,개인 및 소비용품 수리업,34.641318,126.7784967
한．필슈퍼,전라남도 강진군 강진읍 중앙로 79-1 한필슈퍼,소매업; 자동차 제외,34.6375994,126.7664388
영호상회,전라남도 강진군 칠량면 칠량월송길 47-4,사업 지원 서비스업,34.5582509,126.8395631
네일#,전라남도 강진군 마량면 마량3길 31 네일샵,기타 개인 서비스업,34.4508276,126.8183462
환이분식,"전라남도 강진군 마량면 미항로 152, 13동(마량놀토수산시장)",음식점 및 주점업,34.4489188,126.8185275
춘천닭갈비,전라남도 강진군 강진읍 보은로4길 36-2,음식점 및 주점업,34.6406034297,126.7714405567
8월8일,전라남도 강진군 강진읍 보은로3길 12,음식점 및 주점업,34.6387392,126.7725119
호수농원,전라남도 강진군 도암면 다산초당1길 30-15,도매 및 상품 중개업,34.5792486,126.7513081
하멜공예카페,전라남도 강진군 병영면 병영성로 180,음식점 및 주점업,34.7192898,126.8186305
호박다방,전라남도 강진군 병영면 병영성로 111,음식점 및 주점업,34.7143578,126.8159654
가우도협동조합 가우나루,전라남도 강진군 도암면 가우도길 2-83 가우나루,소매업; 자동차 제외,34.5333825,126.7846802
에이스광고기획,전라남도 강진군 강진읍 중앙로 48,기타 제품 제조업,34.635293,126.7643014
금호세탁소,"전라남도 강진군 강진읍 탐진로 60, 201동 107호(씨엔에스 후레쉬빌 201동 107호)",기타 개인 서비스업,34.6380631,126.7637965
탑모텔,전라남도 강진군 강진읍 보은로안길 28,숙박업,34.6383085,126.7730864
황금들 식육식당,전라남도 강진군 작천면 까치내로 850,음식점 및 주점업,34.7055337,126.7727315
화음피아노학원,"전라남도 강진군 강진읍 중앙로 75-4, 1층",교육 서비스업,34.637455,126.7660717
월곶,전라남도 강진군 도암면 망호길 6-14,소매업; 자동차 제외,34.529954,126.7626248
가우도수라상,전라남도 강진군 마량면 미항로 181-3 전라남도강진군마량면미항로181-3,음식점 및 주점업,34.4493206,126.8220968
진다방,전라남도 강진군 강진읍 보은로3길 6-1,음식점 및 주점업,34.6382165,126.772838
우리 농수산물,전라남도 강진군 도암면 해안관광로 889,도매 및 상품 중개업,34.5266147,126.7588919
하이트마트,전라남도 강진군 강진읍 보은로2길 6,소매업; 자동차 제외,34.6375347,126.7717338
그레그레상회,전라남도 강진군 칠량면 영동1길 2 그래그래슈퍼,소매업; 자동차 제외,34.572989,126.7989812
혜성상회,전라남도 강진군 강진읍 중앙로 204 혜성슈퍼,소매업; 자동차 제외,34.6418085,126.7784
슬로우 커피,전라남도 강진군 군동면 청자로 299,음식점 및 주점업,34.6201258,126.793488
엠케이 제1태양광발전소,전라남도 강진군 칠량면 운산길 39 영동리432,"전기, 가스, 증기 및 공기 조절 공급업",34.5719636,126.8111927
제일식당,전라남도 강진군 칠량면 칠량로 59,음식점 및 주점업,34.5734319,126.7989101
술판(booze-up),전라남도 강진군 강진읍 영랑로4길 21,음식점 및 주점업,34.6398564,126.7701481
옛날시골통닭,전라남도 강진군 강진읍 중앙로 126,음식점 및 주점업,34.6401578,126.770222
동행의료기(복지용구),전라남도 강진군 강진읍 보은로 147,소매업; 자동차 제외,34.6385955,126.7742685
떡볶이랑 꽈배기랑,전라남도 강진군 성전면 예향로 2,음식점 및 주점업,34.6915357,126.7086039
아름다운 숲,전라남도 강진군 작천면 평리길 67,도매 및 상품 중개업,34.7048631,126.7714741
망호은주네,전라남도 강진군 도암면 망호길 24,소매업; 자동차 제외,34.5291588,126.7626027
서울건강원,전라남도 강진군 강진읍 보은로4길 18,식료품 제조업,34.6393945,126.772893
감초당한약방,전라남도 강진군 성전면 시천길 3,소매업; 자동차 제외,34.690569,126.7104475
청자골토하,전라남도 강진군 병영면 병영성로 132,소매업; 자동차 제외,34.7161214,126.8153875
미래하우징,전라남도 강진군 작천면 작천부흥길 39,전문직별 공사업,34.6955384,126.7913014
KH 미술아트,전라남도 강진군 강진읍 영랑로4길 21 KH미술아트,스포츠 및 오락관련 서비스업,34.6398564,126.7701481
주작산별소리캠핑장,전라남도 강진군 신전면 삼인길 102-79,숙박업,34.5137672,126.7027326
바다모텔,전라남도 강진군 마량면 마량8길 9,숙박업,34.4505183,126.8175344
서유당 교습소,전라남도 강진군 강진읍 중앙동길 2 103호 서유당 교습소,교육 서비스업,34.6353625,126.7652858
다산 골프 피팅,전라남도 강진군 강진읍 보은로 51 강진읍평동리258-1,소매업; 자동차 제외,34.6337778,126.7655548
정원에이앤씨,전라남도 강진군 강진읍 보은로4길 31-1,전문직별 공사업,34.6401377,126.77162
성전휴게소,전라남도 강진군 성전면 예향로 574,소매업; 자동차 제외,34.7384468,126.7209456
카페 월평리,전라남도 강진군 성전면 예향로 2-1,음식점 및 주점업,34.6916194,126.7085409
강진렌트카（태경렌트카강진지점）,전라남도 강진군 강진읍 중앙로 29 1층,임대업; 부동산 제외,34.6344137,126.7625546
새마을공업사,전라남도 강진군 칠량면 칠량로 48,음식점 및 주점업,34.5742716,126.7982023
e-푸른수산,전라남도 강진군 마량면 청자로 2293,소매업; 자동차 제외,34.4629906,126.8143128
세종학원,전라남도 강진군 강진읍 중앙로 88,교육 서비스업,34.637991,126.7671781
아이신컴퍼니 유한회사,전라남도 강진군 강진읍 보은로2길 31,소매업; 자동차 제외,34.6393143,126.7699601
서윤테라피,"전라남도 강진군 강진읍 삼일로 36, 2층(천년예가)",기타 개인 서비스업,34.6362062,126.7639075
"Cafe, 꽃섬",전라남도 강진군 강진읍 향교로 54-1,음식점 및 주점업,34.6444024,126.774139
식당 오르소,전라남도 강진군 강진읍 영랑로3길 35,음식점 및 주점업,34.6398782,126.7717175
비취에물들다 주식회사,전라남도 강진군 대구면 청자촌길 20-16,음식점 및 주점업,34.5068482,126.8011589
에이코딩,"전라남도 강진군 강진읍 서문길 29-9, 301동 1506호(씨앤에스후레쉬빌3차)",교육 서비스업,34.6404836,126.7626458
닭카페,전라남도 강진군 마량면 미항로 2,음식점 및 주점업,34.4600578,126.8144908
스마일찹쌀꽈배기,전라남도 강진군 강진읍 중앙로 124,소매업; 자동차 제외,34.6400815,126.7700734
성원사,전라남도 강진군 군동면 내동길 43,소매업; 자동차 제외,34.6478211,126.8291973
예음피아노학원,전라남도 강진군 강진읍 중앙로 69,교육 서비스업,34.6369763,126.7656413
E1(주) 강진LPG충전소,전라남도 강진군 강진읍 송계로 458,도매 및 상품 중개업,34.6582443,126.726932
멕시카나 전남강진점,전라남도 강진군 강진읍 영랑로 60,음식점 및 주점업,34.6407175,126.7667248
족발야시장 전남  강진점,전라남도 강진군 강진읍 보은로1길 25,음식점 및 주점업,34.6382825,126.7693967
미성 친환경 농자재,전라남도 강진군 강진읍 이학래길 21,소매업; 자동차 제외,34.6328966,126.7786
헌트인어웨어,전라남도 강진군 강진읍 중앙로 103,소매업; 자동차 제외,34.6392874,126.7681052
월출산케이리농원,전라남도 강진군 성전면 월남1길 77-11,농업,34.7401471,126.7113017
강진만,전라남도 강진군 군동면 청자로 299,음식점 및 주점업,34.6201258,126.793488
드림하이교습소,전라남도 강진군 성전면 예향로 2 2층 (드림하이 ),교육 서비스업,34.6915357,126.7086039
풍미상회,전라남도 강진군 강진읍 구강포로 90,음식점 및 주점업,34.6327755,126.77191
미화이발관,전라남도 강진군 군동면 진흥로 50,음식점 및 주점업,34.642914,126.7862842
온숨필라테스,전라남도 강진군 강진읍 보은로3길 12,기타 개인 서비스업,34.6387392,126.7725119
자라농장,전라남도 강진군 성전면 별뫼로 297-52,음식점 및 주점업,34.6928297,126.6989071
수니쌈밥,전라남도 강진군 신전면 백도로 1552,음식점 및 주점업,34.5148139,126.7222666
강진사랑김밥,전라남도 강진군 강진읍 영랑로4길 25,음식점 및 주점업,34.63987,126.7704322
못난이빵,전라남도 강진군 마량면 미항로 159-1,음식점 및 주점업,34.4493205,126.8196371
영동떡방앗간,전라남도 강진군 칠량면 칠량로 76,식료품 제조업,34.571964,126.7988448
선희농장,전라남도 강진군 신전면 주작봉양길 42-25,도매 및 상품 중개업,34.5150941,126.7146794
옛날팥죽,전라남도 강진군 성전면 신풍길 39-22 옛날팥죽,음식점 및 주점업,34.7142538,126.7095496
동창주유소,전라남도 강진군 강진읍 중앙로 65,소매업; 자동차 제외,34.6366673,126.7653799
원정흑염소,전라남도 강진군 성전면 예향로 59-10,음식점 및 주점업,34.6966285,126.7074577
미남 모바일,전라남도 강진군 강진읍 보은로 152 파머스마켓 휴대폰매장,소매업; 자동차 제외,34.6381966,126.7749167
SK엔크린 e-조은주유소,전라남도 강진군 성전면 예향로 664,소매업; 자동차 제외,34.7439713,126.7270445
떡마루가공,전라남도 강진군 군동면 호계길 5 떡마루가공,식료품 제조업,34.6430176,126.7833567
미고,전라남도 강진군 강진읍 탐진로 164,음식점 및 주점업,34.6440114,126.7721649
플투레P2R,전라남도 강진군 강진읍 보은로2길 31,기타 개인 서비스업,34.6393143,126.7699601
산림조합추모관,전라남도 강진군 강진읍 해강로 1437,기타 개인 서비스업,34.6322359,126.7594135
한잔만 더,전라남도 강진군 작천면 평리길 69,음식점 및 주점업,34.7049908,126.7714
나라의원,전라남도 강진군 칠량면 칠량로 60,보건업,34.573342,126.798567
매자라식당,전라남도 강진군 칠량면 청자로 1157,음식점 및 주점업,34.5485673,126.8011275
