매장명,도로명주소,매장유형,위도,경도
빈스킹토스트휘닉스평창점,강원 평창군 봉평면 태기로 174,음식점 및 주점업,37.5813901,128.3273099
홍돼지곳간,강원 평창군 대관령면 대관령로 112,음식점 및 주점업,37.6720064,128.7088134
미락식당,강원특별자치도 평창군 미탄면 미탄중앙로 18,음식점 및 주점업,37.3415278314,128.4984215868
소쿠리왕족발,강원특별자치도 평창군 평창읍 평창시장2길 12,음식점 및 주점업,37.3663950491,128.3947652372
고원철물건재,강원특별자치도 평창군 대관령면 대관령로 42,소매업; 자동차 제외,37.675239261,128.7017842091
왕개미,강원특별자치도 평창군 진부면 청송로 90-28,음식점 및 주점업,37.6364788103,128.5563263385
진부설비,강원특별자치도 평창군 진부면 석두로 12-3,도매 및 상품 중개업,37.6356913102,128.5546201617
설봉,강원특별자치도 평창군 대관령면 횡계2길 8,음식점 및 주점업,37.6727367098,128.7092147425
돈드럼통,강원특별자치도 평창군 진부면 청송로 111,음식점 및 주점업,37.6364299404,128.5589151348
짠,강원특별자치도 평창군 용평면 금송길 1,음식점 및 주점업,37.5852577933,128.4143899405
나이스당구클럽,강원특별자치도 평창군 대관령면 눈마을2길 34,스포츠 및 오락관련 서비스업,37.6719629158,128.7079361128
음악이흐르는숲,강원특별자치도 평창군 방림면 고원로 520-97,숙박업,37.4533583376,128.2727248539
대관령종합광고,강원특별자치도 평창군 대관령면 올림픽로 108-7,기타 제품 제조업,37.6698073064,128.7038192538
진부스크린골프,강원특별자치도 평창군 진부면 경강로 3787,스포츠 및 오락관련 서비스업,37.650061441,128.5702696352
메밀꽃필무렵,강원특별자치도 평창군 봉평면 이효석길 33-13,음식점 및 주점업,37.6109246087,128.3603385174
그랑샤리오,강원특별자치도 평창군 방림면 감동지길 104,숙박업,37.478646622,128.2730280833
정헤어,강원특별자치도 평창군 평창읍 백오로 115,기타 개인 서비스업,37.3678457584,128.3964150022
평창산업테크,강원특별자치도 평창군 대관령면 올림픽로 10,소매업; 자동차 제외,37.6778572912,128.6998926547
