매장명,도로명주소,매장유형,위도,경도
영구짬뽕,전남 해남군 산이면 관광레저로 1665,음식점 및 주점업,34.6933755184,126.355163854
제일맛집,전남 해남군 삼산면 신기큰길 6,음식점 및 주점업,34.5206834,126.609433
오늘도 예쁨,전남 해남군 해남읍 동초길 83,기타 개인 서비스업,34.5663574,126.6029245
다온뷰티끄,"전남 해남군 해남읍 중앙2로 29,",교육 서비스업,34.5706933,126.5984833
피우다,전라남도 해남군 해남읍 중앙1로,교육 서비스업,34.5713206,126.6029483
장터뚝배기,해남군 해남읍 중앙2로,음식점 및 주점업,34.571355,126.5987404
삼성공사,해남군 해남읍 중앙2로,식료품 제조업,34.571355,126.5987404
바우하우스,전라남도 해남군 해남읍 북부순환로,음식점 및 주점업,34.5744641,126.599208
땅끝바다수산건어물,전라남도 해남군 송지면 땅끝마을길,소매업; 자동차 제외,34.2977182,126.5276945
낙원떡방앗간,전라남도 해남군 송지면 산정길,식료품 제조업,34.3696204,126.5183791
에덴수예점,전라남도 해남군 해남읍 홍교로,소매업; 자동차 제외,34.570359,126.5987438
갯마을짱뚱어탕,해남군 황산면 고천암로,음식점 및 주점업,34.5473667,126.458575
알레르망 해남점,전라남도 해남군 해남읍 중앙1로,소매업; 자동차 제외,34.5713206,126.6029483
농업회사법인유한회사 중앙,전라남도 해남군 옥천면 해남로,소매업; 자동차 제외,34.5670285,126.6468528
천지회관,전라남도 해남군 황산면 공룡박물관길,음식점 및 주점업,34.5764262,126.4344297
땅끝일번가전복,전라남도 해남군 송지면 땅끝해안로,식료품 제조업,34.3167586,126.5173022
황토로하스영농조합법인,전라남도 해남군 현산면 현산북평로,소매업; 자동차 제외,34.4594829,126.5539526
제일정육점,전라남도 해남군 해남읍 중앙2로,소매업; 자동차 제외,34.5676712,126.5959819
매일우유해남대리점,전라남도 해남군 해남읍 읍관동길,소매업; 자동차 제외,34.5791725,126.5883767
스토리안경,전라남도 해남군 해남읍 중앙1로,소매업; 자동차 제외,34.5713206,126.6029483
주식회사 대성케미칼,해남군 황산면 고천암로,식료품 제조업,34.5473667,126.458575
돈바감자탕,전라남도 해남군 해남읍 교육청길,음식점 및 주점업,34.5699519,126.6084901
