매장명,도로명주소,매장유형,위도,경도
현진굴비,전남 영광군 법성면,소매업; 자동차 제외,35.362057,126.445988
홍천수산,전남 영광군 영광읍 신남로3길 15-14,소매업; 자동차 제외,35.2752087,126.5033217
들향,전남 영광군 영광읍 천년로12길 45,음식점 및 주점업,35.2763659,126.4996735
굴비골농업협동조합,전남 영광군 법성면,소매업; 자동차 제외,35.362057,126.445988
영광농업협동조합,전남 영광군 영광읍,소매업; 자동차 제외,35.273263,126.512818
영광농협묘량지소,전남 영광군 묘량면,소매업; 자동차 제외,35.257092,126.54315
백수농업협동조합,전남 영광군 백수읍,소매업; 자동차 제외,35.281672,126.419924
칠산타워매점,전남 영광군 염산면 향화로 2-10,소매업; 자동차 제외,35.1686337,126.3603068
라온씽크,전남 영광군 영광읍 천년로10길 38,소매업; 자동차 제외,35.2750945,126.4985161
전라도 젓갈식품,전남 영광군 염산면 향화로5길 21-9,소매업; 자동차 제외,35.2111771,126.3742738
신라모텔,전라남도 영광군 영광읍 옥당로 146-18,숙박업,35.2748219,126.5022166
영광야생화 영농조합법인,전남 영광군 영광읍 대하길1길 19,소매업; 자동차 제외,35.2727125,126.5001394
다담굴비수산,전남 영광군 백수읍 백수로 1107,소매업; 자동차 제외,35.2804757,126.4305252
옥당운동화 손세탁 빨래방,전남 영광군 영광읍 천년로 1511,기타 개인 서비스업,35.2772033,126.5045835
더샘영광점,전남 영광군 영광읍 중앙로 193-3,소매업; 자동차 제외,35.2762938,126.5120918
정성젓갈,전남 영광군 염산면 향화로5길 21-22,소매업; 자동차 제외,35.2114683,126.3735606
큰굴비수산,전남 영광군 법성면 화천길1길 176,소매업; 자동차 제외,35.3736381,126.4648658
구가네굴비,전남 영광군 법성면 굴비로 53,소매업; 자동차 제외,35.3581743,126.4471291
향건수산,전남 영광군 염산면 향화로 10-39,소매업; 자동차 제외,35.168574,126.3627214
해진수산,전남 영광군 염산면 향화로 10-36,소매업; 자동차 제외,35.1683114799,126.3627507296
