매장명,도로명주소,매장유형,위도,경도
꿈의김밥,강원 횡성군 횡성읍 읍마북로 13,음식점 및 주점업,37.49008,127.9951243
유씨철물,강원 횡성군 청일면 춘당로141번길 47-20,소매업; 자동차 제외,37.6114436,128.1471843
전골의법칙 리틀하노이,강원도 횡성군 횡성읍 교항북로 9,음식점 및 주점업,37.4861689,127.9829867
줄리어드음악학원,강원특별자치도 횡성군 둔내면 둔방로 26,교육 서비스업,37.5140404502,128.2096178717
손꾸락발꾸락,강원특별자치도 횡성군 횡성읍 화성로 5,기타 개인 서비스업,37.4915686731,127.9879240789
제이드7,강원특별자치도 횡성군 우천면 경강로 3510,숙박업,37.5059402589,128.1266480644
제이지바이오,강원특별자치도 횡성군 횡성읍 광학로 275,화학 물질 및 화학제품 제조업; 의약품 제외,37.4680120581,127.9459462012
성일헬스클럽,강원도 횡성군 횡성읍 앞들동1로 21,스포츠 및 오락관련 서비스업,37.4854875682,127.9858411862
시골농장건강원,강원특별자치도 횡성군 청일면 춘당로 182,소매업; 자동차 제외,37.6141087591,128.1543170966
현대윤활유,강원특별자치도 횡성군 횡성읍 한우로 305,도매 및 상품 중개업,37.4877836513,127.9871415542
숲속의짬뽕나라,강원 횡성군 안흥면 서동로 1123,음식점 및 주점업,37.4122447,128.1540861
오복장,강원특별자치도 횡성군 횡성읍 태기로 31,음식점 및 주점업,37.4911455642,127.987074085
환희축산,강원특별자치도 횡성군 안흥면 봉화로소사7길 23,농업,37.4664270161,128.1422898374
꾸러기종합학원,강원특별자치도 횡성군 횡성읍 북천서로7번길 41,교육 서비스업,37.4940943654,127.9922993664
완성이발관,강원특별자치도 횡성군 횡성읍 읍상로 10,기타 개인 서비스업,37.4867753113,127.9898084973
까사뮤,강원특별자치도 횡성군 횡성읍 성북동로 15,도매 및 상품 중개업,37.4906283216,127.9933933782
공근방앗간,강원특별자치도 횡성군 공근면 학담시장길 8,사업 지원 서비스업,37.5360231437,127.9625134871
새소리민박,강원특별자치도 횡성군 갑천면 어답산로 61-59,숙박업,37.5704499221,128.0381269132
주식회사 섬강식품,강원 횡성군 공근면 신촌길 33,식료품 제조업,37.5158119,127.9505306
미사경희한의원,강원 횡성군 횡성읍 태기로 26,보건업,37.4908998,127.9861902
소풍,강원 횡성군 횡성읍 횡성로 408,소매업; 자동차 제외,37.4891535,127.9862686
대성막국수,강원특별자치도 횡성군 우천면 한우로우항9길 9,음식점 및 주점업,37.4509098291,128.0749329192
둔내치킨,강원도 횡성군 둔내면 둔내로 74-1,음식점 및 주점업,37.511262,128.2186001
맥켄치킨,강원도 횡성군 횡성읍 앞들서2로 23,음식점 및 주점업,37.4889061,127.9819564
파낙토스(IBC)통합뇌센터,강원 횡성군 횡성읍 읍마로9번길 14,교육 서비스업,37.4891127,127.9941697
돌섬,강원특별자치도 횡성군 횡성읍 화성로 5-1,음식점 및 주점업,37.4915686731,127.9879240789
하늘아래외딴집,강원특별자치도 횡성군 둔내면 고원로425번길 155,숙박업,37.5047241708,128.2518269413
현천낚시터,강원특별자치도 횡성군 둔내면 경강로현천2길 25-25,스포츠 및 오락관련 서비스업,37.4834111973,128.175459737
횡성보청기,강원특별자치도 횡성군 횡성읍 횡성로 406,소매업; 자동차 제외,37.4889681468,127.9861723149
청봉이용원,강원특별자치도 횡성군 청일면 청정로 857-1,기타 개인 서비스업,37.5838263539,128.1524150307
