매장명,도로명주소,매장유형,위도,경도
풍천장어,강원 영월군 영월읍,소매업; 자동차 제외,37.187443,128.4661
마차집,강원 영월군 북면 밤재로 351,음식점 및 주점업,37.2630968,128.46691
대륙주유소,강원 영월군 한반도면 강원남로 140,소매업; 자동차 제외,37.1799750446,128.3106106709
수희미용실,강원 영월군 주천면 주천리,기타 개인 서비스업,37.264792,128.281225
불너쏘,강원 영월군 영월읍 하송로 125,음식점 및 주점업,37.1783497,128.4584898
파로스클럽,강원 영월군 영월읍 동강로 576,스포츠 및 오락관련 서비스업,37.2224991,128.5164648
화정족발,강원 영월군 영월읍 분수대길 28,음식점 및 주점업,37.1803548,128.4632277
아모레외판사원,강원 영월군 영월읍 관풍헌길 11-6,소매업; 자동차 제외,37.1822913,128.4696916
동강매점,강원 영월군 영월읍 동강로 778,소매업; 자동차 제외,37.2316538812,128.506000011
장재치과,강원 영월군 영월읍 단종로33번길 50,보건업,37.183804601,128.4668879031
우리식품,강원 영월군 영월읍 중앙1로 23,소매업; 자동차 제외,37.1829585,128.4652752
더불어사는터,강원 영월군 수주면 두산길 199-8,숙박업,37.3104231,128.17366
무한부대찌개,강원 영월군 영월로 2085,음식점 및 주점업,37.1815886653,128.4786013772
최고닭,강원 영월군 영월읍 하송로 117,음식점 및 주점업,37.1789033,128.4593569
민수네포도원,강원 영월군 김삿갓면 예밀촌길 2-7,소매업; 자동차 제외,37.1298156,128.5774171
장릉도깨비장터,강원 영월군 영월읍 단종로 181-1,음식점 및 주점업,37.1949145966,128.4558216504
금방아민박캠핑장,강원 영월군 수주면 무릉법흥로 516,숙박업,37.3178616,128.2603527
악동레저,강원 영월군 영월읍 동강로 490-11,스포츠 및 오락관련 서비스업,37.2167707,128.524545
솥뚜껑메밀전병,강원 영월군 주천면 주천로 92,음식점 및 주점업,37.2710765,128.2687092
자연이랑캠프,강원 영월군 수주면 무릉법흥로 1182,숙박업,37.3611783,128.2741081
좋은친구,강원 영월군 남면 송정길 3-2,음식점 및 주점업,37.1919983,128.4073076
댕기머리,강원 영월군 주천면 주천로 88,기타 개인 서비스업,37.2707627,128.268255
강&별,강원 영월군 영월읍 동강로 1503,숙박업,37.2721328,128.5281383
명성노래연습장,강원 영월군 영월읍 봉래산로 7-8,스포츠 및 오락관련 서비스업,37.1836905,128.4719289
미엘,강원 영월군 영월읍 분수대길 24,소매업; 자동차 제외,37.1803078,128.4630122
남강레저사,강원 영월군 영월읍,소매업; 자동차 제외,37.187443,128.4661
한반도방앗간,강원 영월군 주천면 주천로 91-1,소매업; 자동차 제외,37.2713463773,128.268550328
술샘사우나,강원 영월군 주천면 도천길 17,기타 개인 서비스업,37.2706648,128.2655153
헤어갤러리,강원 영월군 영월읍 중앙1로 26,기타 개인 서비스업,37.1834034,128.4658915
미래농어촌민박,강원 영월군 영월읍 동강로 241,숙박업,37.2017869,128.506395
신전떡볶이,강원 영월군 영월읍 중앙로 26-1,음식점 및 주점업,37.1834336,128.4666157
산꼴건강원,강원 영월군 주천면 송학주천로 2137,소매업; 자동차 제외,37.2946135993,128.325095261
웰메이드 (인디안),강원 영월군 영월읍 중앙로 30,소매업; 자동차 제외,37.1834355,128.4670066
참살이농원,강원 영월군 김삿갓면 예밀촌길 226-5,소매업; 자동차 제외,37.14071,128.5915859
위치스,강원 영월군 영월읍 중앙로 25-1,음식점 및 주점업,37.1836487,128.466571
나무와삶,강원 영월군 영월읍 덕포우회길 42,사업 지원 서비스업,37.1790925,128.4744543
신창마트,강원 영월군 영월읍 덕포하리1길 61,소매업; 자동차 제외,37.174598,128.4801956
미래슈퍼,강원 영월군 영월읍 동강로 241,소매업; 자동차 제외,37.2017869,128.506395
참좋은건강원,강원 영월군 영월읍 하송안길 33,소매업; 자동차 제외,37.1815762,128.464655
태평화원,강원 영월군 영월읍 중앙1로 54,소매업; 자동차 제외,37.1859321,128.4659519
술샘짬뽕타운,강원 영월군 주천면 주천로58번길 29,음식점 및 주점업,37.2699,128.2685229
엄니밥상,강원 영월군 주천면 도천길 18,음식점 및 주점업,37.2710917,128.2658032
서강종합가스,강원 영월군 남면 서강로 1857-27,소매업; 자동차 제외,37.2010344,128.4030992
강과별민박,강원 영월군 영월읍 동강로 266,숙박업,37.2038282,128.5068161
박달재송어횟집 바다횟집,강원 영월군 주천면 주천로58번길 9,음식점 및 주점업,37.2687114,128.2671948
우리들헤어샵,강원 영월군 영월읍 하송로 117,기타 개인 서비스업,37.1789033,128.4593569
성원환경합자회사,강원 영월군 북면 밤재로 378,사업 지원 서비스업,37.2627304,128.4696166
진미순대,강원 영월군 영월읍 덕포시장길 8,음식점 및 주점업,37.1812986,128.4769214
강원특별자치도영월의료원,강원 영월군 영월읍 중앙1로 59,보건업,37.1864525,128.4652388
우주유통,강원 영월군 영월읍 관풍헌길 112-9,소매업; 자동차 제외,37.1867525,128.4707396
콩이랑곤드레,강원 영월군 남면 영월로 323-11,음식점 및 주점업,37.1751501,128.3623998
황보수수부꾸미,강원 영월군 영월읍 제방안길 16-1,음식점 및 주점업,37.182864,128.4713067
가람펜션모텔,강원 영월군 한반도면 서강로 1059-27,숙박업,37.2427088485,128.3504601315
동강낚시,강원 영월군 영월읍 덕포우회길 8,소매업; 자동차 제외,37.1798386,128.4756352
로또노래연습장,강원 영월군 주천면 주천로58번길 9,스포츠 및 오락관련 서비스업,37.2687114,128.2671948
토담,강원 영월군 영월읍 하송로 103-4,음식점 및 주점업,37.1787013,128.459875
큐브존,강원 영월군 한반도면 한반도로 794-22,소매업; 자동차 제외,37.2311634,128.3471357
연자방앗간,강원 영월군 영월읍 중앙로 129-1,음식점 및 주점업,37.18083,128.4769104
김자매네,강원 영월군 영월읍 하송로 48,음식점 및 주점업,37.183595,128.4634557
에스비 모바일,강원 영월군 영월읍 중앙로 37,소매업; 자동차 제외,37.1836379,128.4679052
동굴칡국수,강원 영월군 김삿갓면 영월동로 1121-10,음식점 및 주점업,37.1303701,128.5361351
메밀과전,강원 영월군 주천면 주천로84번길 4,음식점 및 주점업,37.2703790426,128.2678898933
옛날통닭,강원 영월군 영월읍 중앙로 84,음식점 및 주점업,37.1832537,128.4730107
케이 잉글리쉬(K English),강원도 영월군 영월읍 하송로 146-10,교육 서비스업,37.1784695,128.455272
삼천리자전거,강원 영월군 영월읍,소매업; 자동차 제외,37.187443,128.4661
금마주유소,강원 영월군 주천면,소매업; 자동차 제외,37.27224,128.268973
우리들 광고기획,강원 영월군 영월읍 은행나무1길 49-30,사업 지원 서비스업,37.1808636,128.4674503
오라디저트카페공방,강원 영월군 영월읍 요리골목길 21,음식점 및 주점업,37.1829952,128.4694783
주식회사 영월가스상사,강원 영월군 영월읍 영월로 2181-14,사업 지원 서비스업,37.1862563,128.4891981
시장식당,강원 영월군 주천면 주천시장길 30,음식점 및 주점업,37.2710048,128.2669679
거구갈비,강원 영월군 영월읍 영모전길 11,음식점 및 주점업,37.1839827,128.4710636
"법무사, 행정사남호원사무소",강원 영월군 영월읍 봉래산로 16,전문 서비스업,37.1846941,128.4721388
원주집,강원 영월군 한반도면 쌍용로 205,음식점 및 주점업,37.177164,128.326936
시장식육점,강원 영월군 주천면 주천시장길 30,소매업; 자동차 제외,37.2710048,128.2669679
아폴로세탁소,강원 영월군 한반도면 쌍용로 64,기타 개인 서비스업,37.1809197373,128.3201885893
j클럽피팅,강원도 영월군 영월읍 금강공원길 13,개인 및 소비용품 수리업,37.1840755,128.4734814
회춘당한약방,강원 영월군 영월읍,소매업; 자동차 제외,37.187443,128.4661
농업회사법인 주식회사 수라꽃벵이마을,강원 영월군 중동면 영월로 3732-7,소매업; 자동차 제외,37.196243,128.6062965
술샘고을식당,강원 영월군 주천면 주천로84번길 6,음식점 및 주점업,37.2703128,128.2679775
꾸브라꼬숯불두마리치킨영월점,강원 영월군 영월읍 하송로 146-25,음식점 및 주점업,37.1774945,128.4548031
신한카센타,강원 영월군 영월읍,개인 및 소비용품 수리업,37.187443,128.4661
조은F&C,강원 영월군 영월읍 분수대길 56,소매업; 자동차 제외,37.180572,128.4647411
주천광고,강원 영월군 주천면 주천로58번길 17,"기타 전문, 과학 및 기술 서비스업",37.2689416,128.2678375
영월떡백화점,강원 영월군 영월읍 서부시장길 15-28,음식점 및 주점업,37.1832987,128.4670012
다슬기향촌 성호식당,강원 영월군 영월읍 영월로 2101,음식점 및 주점업,37.1825821,128.4800371
영월의료원 구내매점,강원 영월군 영월읍 중앙1로 59,소매업; 자동차 제외,37.1864525,128.4652388
라벨르미용실,강원 영월군 영월읍,기타 개인 서비스업,37.187443,128.4661
도장골민박,강원 영월군 상동읍 태백산로 2529,숙박업,37.1180772,128.7676967
안경나라,강원 영월군 영월읍 중앙로 47,소매업; 자동차 제외,37.1836841,128.469072
보성식당,강원 영월군 중동면 영월로 3851-2,음식점 및 주점업,37.1986251,128.6190664
다래지업사,강원 영월군 주천면 주천로84번길 25,소매업; 자동차 제외,37.2700829,128.2690866
대광유통,강원 영월군 영월읍 서부시장길 23,소매업; 자동차 제외,37.183037565,128.4671036561
모여라맛집,강원 영월군 영월읍 서부시장길 16-14,음식점 및 주점업,37.182636,128.4666443
이쁜네반찬,강원 영월군 영월읍 단종로16번길 22,소매업; 자동차 제외,37.1848553,128.4694858
해창한의원,강원 영월군 영월읍 서부시장길 29,보건업,37.182918,128.4674475
숙헤어뱅크,강원 영월군 영월읍 하송안길 37,기타 개인 서비스업,37.1815176,128.4649351
GS25영월장릉점,강원 영월군 영월읍 단종로 182,소매업; 자동차 제외,37.1951754,128.45587
석항토속음식점,강원 영월군 중동면 영월로 3817,음식점 및 주점업,37.1985281,128.615268
연하주유소,강원 영월군 영월읍 영월로 3206-6,소매업; 자동차 제외,37.1906439,128.5685313
대양수산,강원도 영월군 영월읍 하송안길 89,소매업; 자동차 제외,37.1826298,128.4671104
씨유영월대학로점,강원 영월군 영월읍 하송로 149,소매업; 자동차 제외,37.1766474,128.4571631
대성카인테리어,강원 영월군 영월읍,개인 및 소비용품 수리업,37.187443,128.4661
문화상회,강원 영월군 북면 마차중앙1길 44-15,소매업; 자동차 제외,37.2556153,128.4569453
헤어잇다미용실,강원 영월군 영월읍 덕포하리4길 31,기타 개인 서비스업,37.1733781,128.4762578
현대치과,강원 영월군 영월읍,보건업,37.187443,128.4661
씨앤에스 뮤직 (C&S music),강원 영월군 영월읍 단종로 4-1,교육 서비스업,37.1838321,128.4685079
힐스템,강원 영월군 영월읍 중앙로 21,소매업; 자동차 제외,37.1836606,128.4661233
비밀상점,강원 영월군 한반도면 강원남로 273,소매업; 자동차 제외,37.1731179,128.3220375
카페안녕나의별,강원 영월군 영월읍 하송안길 107,음식점 및 주점업,37.1830259,128.4684249
홍여사,강원 영월군 북면 영월로 1184,음식점 및 주점업,37.2114507,128.4168741
영월종합가구,강원 영월군 영월읍,소매업; 자동차 제외,37.187443,128.4661
가마솥,강원 영월군 무릉도원면 무릉법흥로 316-4,음식점 및 주점업,37.3011616,128.2626524
성신청과,강원 영월군 영월읍 서부시장길 16-4,소매업; 자동차 제외,37.1828932,128.4666435
코리아종합써비스,강원 영월군 영월읍 중앙로 19,기타 개인 서비스업,37.1836641,128.4659555
"설원칡냉면 (주천점),청솔가든",강원 영월군 무릉도원면 무릉법흥로 198,음식점 및 주점업,37.2941743,128.2719884
정식품영월대리점,강원 영월군 영월읍 하송로 183,소매업; 자동차 제외,37.1735156,128.4559159
다하누주천별관점,강원 영월군 주천면 주천시장길 16-14,음식점 및 주점업,37.2707243,128.267509
내성라이온스클럽,강원 영월군 영월읍 단종로 35-1,기타 개인 서비스업,37.1861094,128.4666278
영월종합사무기,강원 영월군 영월읍 단종로9번길 17,소매업; 자동차 제외,37.1841665,128.4671899
복코네,강원 영월군 영월읍 관풍헌길 24,음식점 및 주점업,37.1826039,128.4702838
맛나식당,강원 영월군 주천면 주천로84번길 8,음식점 및 주점업,37.2701237,128.2680784
모범약국,강원 영월군 영월읍,소매업; 자동차 제외,37.187443,128.4661
