매장명,도로명주소,매장유형,위도,경도
중앙분식당,충북 제천시 봉양읍 제원로2길 7,음식점 및 주점업,37.1333738,128.1272753
구독(GOODOG),충북 제천시 고명로 6-6,소매업; 자동차 제외,37.1239144,128.2245593
1등갈비만두,충북 제천시 용두천로 298,음식점 및 주점업,37.1516623,128.218013
썬바이오,충북 제천시 용두천로 121,소매업; 자동차 제외,37.1382667,128.2133617
이쁜맘 미용실,충북 제천시 덕산면 약초로3안길 12,기타 개인 서비스업,36.9081719,128.1674433
로이브뷰티,충북 제천시 풍양로23길 5,기타 개인 서비스업,37.1359132,128.2139874
천궁건강생활센터,충북 제천시 독순로 88,소매업; 자동차 제외,37.1381594,128.2126844
황제코다리아구찜,충북 제천시 봉양읍 용두대로36길 5-14,음식점 및 주점업,37.1571440166,128.1585548718
제비상회,충북 제천시 청전대로 204,음식점 및 주점업,37.1516153874,128.2198999217
이마트24 제천대로점,충청북도 제천시 내토로 325,소매업; 자동차 제외,37.130386,128.194106
이마트24 제천대로점,충청북도  제천시 내토로 325,소매업; 자동차 제외,37.1303922881,128.1941093527
비타민약국,충북 제천시 풍양로 99,소매업; 자동차 제외,37.1375403,128.2108237
하프타임,충북 제천시 관전로 49,음식점 및 주점업,37.1295038695,128.2282708089
홍싸리,충청북도 제천시 죽하로11길,음식점 및 주점업,37.1580771,128.2246833
고암식육점,충청북도 제천시 용두천로46길 9 (고암동),식료품 제조업,37.1581908857,128.2178698761
황금문짝,충북 제천시 용두천로 174,소매업; 자동차 제외,37.1425290412,128.2155054972
르꼬끄스포르티브제천점,충청북도 제천시 풍양로13길 8 (중앙로1가),소매업; 자동차 제외,37.1378879,128.2112455
수제돈가스,제천시 남산로5길 13(화산동),음식점 및 주점업,37.1335824,128.2094517
동부공인중개사사무소,충청북도 제천시 칠성로10길,기타 개인 서비스업,37.1423001,128.210706
기쁨,제천시 용두천로16길 12,음식점 및 주점업,37.1397638,128.2152566
엄브로 제천,충청북도 제천시 의림대로 104-2(중앙로1가),스포츠 및 오락관련 서비스업,37.1370548,128.210335
탑브릭스 제천점,충청북도 제천시 의병대로7길,식료품 제조업,37.1379716,128.2050966
송계가든,제천시 한수면 미륵송계로 1605,음식점 및 주점업,36.8834427,128.078412
모란식당,충청북도 제천시 청풍호로4길 9 (영천동),음식점 및 주점업,37.1271276,128.2015354
한미여인숙,충청북도 제천시 내토로27길,숙박업,37.1315898,128.2077948
제천비닐총판,충청북도 제천시 용두천로,식료품 제조업,37.1341577,128.2077611
카페열매,제천시 내제로 318,음식점 및 주점업,37.145074,128.220288
써니노래연습장,충청북도 제천시 의림대로33길 70 (청전동),기타 개인 서비스업,37.1470563,128.2081973
카페탄지리,충청북도 제천시 한수면 월악로,음식점 및 주점업,36.9226281,128.0940459
세탁본부,충청북도 제천시 용두대로7길 25 (하소동.제천 그린코아루 아파트),소매업; 자동차 제외,37.1351275,128.196347
월악광고,충청북도 제천시 덕산면 월악산로 157,소매업; 자동차 제외,36.9084287,128.1194173
남양미장원,충청북도 제천시 용두천로16길 12 (교동),기타 개인 서비스업,37.1397638,128.2152566
대경수입육판매점,제천시 용두대로17길 24(하소동),음식점 및 주점업,37.1415599,128.1987815
대박(참숯구이),충청북도 제천시 장락로 157-4 (장락동),음식점 및 주점업,37.1560835,128.2262529
리얼 샌드위치,충청북도 제천시 죽하로15길 30(장락동),음식점 및 주점업,37.159754,128.2225015
피자컴퍼니,충청북도 제천시 학사촌길 5 (신월동),음식점 및 주점업,37.1711581,128.1949918
제천송어,충청북도 제천시 청풍호로10안길 19-2 (강제동),음식점 및 주점업,37.1217604,128.1987533
하카전자담배,제천시 청전대로 204(장락동),음식점 및 주점업,37.1516354,128.2199054
조이너스,충청북도 제천시 용두천로11길 12 (중앙로1가),소매업; 자동차 제외,37.1377635,128.2118329
제천약초협동조합,충청북도 제천시 원화산로 121 약초시장 나동 11호(화산동),식료품 제조업,37.127889,128.2195911
명동호프,충청북도 제천시 의림대로11길 11 (명동),음식점 및 주점업,37.1372011,128.2087548
동보의료기,충청북도 제천시 청전대로15길 14,보건업,37.1526734,128.2143274
국제장식철물,충청북도 제천시 명륜로 92 (중앙로2가),음식점 및 주점업,37.1411552,128.210815
단양식당,충청북도 제천시 수산면 월악로26길 55,음식점 및 주점업,36.9337493,128.1827301
모란칡냉면양평해장국,충청북도 제천시 신죽하로,음식점 및 주점업,37.1602601,128.2217327
GS25제천스카이시티점,"충청북도 제천시 내토로59길 31 (장락동,신안실크밸리 스카이시티)",소매업; 자동차 제외,37.1528665,128.2237045
프로당구클럽,제천시 의병대로36길 5. 2층(신백동),소매업; 자동차 제외,37.1320172,128.2286255
안경매니져,충청북도 제천시 명륜로 97 (의림동),소매업; 자동차 제외,37.1412985,128.2118062
나미야 잡화점,충청북도 제천시 풍양로 108,음식점 및 주점업,37.136642,128.2112696
돌아온 번창오뎅,충북 제천시 내제로 226,음식점 및 주점업,37.1465767483,128.211154885
후라이드 참 잘하는집(제천점),충청북도 제천시 칠성로,음식점 및 주점업,37.1412331,128.2213542
이리오너라,제천시 내토로 27길 28 (화산동),음식점 및 주점업,37.1319771,128.208259
공부다방제천점,충청북도 제천시 신죽하로,소매업; 자동차 제외,37.1602601,128.2217327
두손온누리약국,제천시 의림대로 222(청전동),보건업,37.1469343,128.2145129
덕산가스,충청북도 제천시 덕산면 약초로16길 2,음식점 및 주점업,36.8961632,128.1933923
별난왕족보쌈전문점,충청북도 제천시 의림대로20길,음식점 및 주점업,37.1418589,128.2136775
대풍식당,제천시 덕산면 약초로 3안길 14,음식점 및 주점업,36.9081129,128.1675916
동희네집,충청북도 제천시 내토로 409 (영천동),음식점 및 주점업,37.1313178,128.20313
대산전기,충청북도 제천시 명륜로 130 (교동),소매업; 자동차 제외,37.139977,128.2149091
경희길한의원,충청북도 제천시 의림대로 145(중앙로2가),보건업,37.1406413,128.2114901
대원카센타,제천시 용두대로 217(하소동),기타 개인 서비스업,37.1480136,128.1952996
고방감자탕,제천시 내제로 193(청전동),음식점 및 주점업,37.145141,128.2080393
용민상사,충청북도 제천시 남산로,소매업; 자동차 제외,37.1320296,128.216578
진성합판목재,충청북도 제천시 내토로 990,소매업; 자동차 제외,37.1627608,128.23554
엘지럭셔리뷰티(제천중앙점),충청북도 제천시 장락로1길,기타 개인 서비스업,37.1583142,128.2257824
월악산약초정보화마을,충청북도 제천시 덕산면 약초로 78,소매업; 자동차 제외,36.9102425,128.1645913
미성설렁탕,제천시 내제로31길 4(청전동),음식점 및 주점업,37.1468458,128.2150453
김밥에 반한 꼬마,충청북도 제천시 고암로,음식점 및 주점업,37.1589703,128.2146948
두마리찜닭 두찜 제천청전점,충청북도 제천시 내제로 204,음식점 및 주점업,37.1454613,128.2091633
광명식품,충청북도 제천시 바이오밸리로,식료품 제조업,37.1553468,128.1727181
경희쇼핑,충청북도 제천시 봉양읍 용두대로36길 5-10,소매업; 자동차 제외,37.1571921,128.1590439
㈜삼성프라자,충청북도 제천시 명륜로 106 (중앙로2가),소매업; 자동차 제외,37.1406825,128.2125239
엘림펜션캠핑장,충청북도 제천시 덕산면 월악산로2길 70-17,숙박업,36.9125236,128.1186285
