매장명,도로명주소,매장유형,위도,경도
푸른약국,경상남도 거창군 거창읍 강남로1길 94-90,보건업,35.6809961,127.905595
농업회사법인 주식회사 엘비,경상남도 거창군 거창읍 아림로 30,음식점 및 주점업,35.6857795,127.9108981
대원중기,경상남도 거창군 거창읍 강변로 113,전문직별 공사업,35.6843827,127.9094145
꽃돼지삼형제 거창점,경상남도 거창군 거창읍 거함대로 3205,음식점 및 주점업,35.6807916,127.9126081
장 마 실,경상남도 거창군 남상면 지하동3길 74-5 장마실,음식점 및 주점업,35.6485835,127.9027282
최강영수학원,경상남도 거창군 거창읍 상동7길 68-1,교육 서비스업,35.6877076,127.9082371
원동별미갈비찜,경상남도 거창군 거창읍 서변원동길 14,음식점 및 주점업,35.7389587,127.9230484
케이클레스커피 거창점,경상남도 거창군 거창읍 강남로 266 (거창코아루에듀시티),음식점 및 주점업,35.6872339,127.9262853
태산설비공사,경상남도 거창군 거창읍 대평5길 10-3,전문직별 공사업,35.6842036,127.9179593
주식회사 백두산천지온천,경상남도 거창군 가조면 온천길 161,기타 개인 서비스업,35.698493,128.022912
오송조경 주식회사,경상남도 거창군 거창읍 중앙로 81 2증,전문직별 공사업,35.6854768,127.9076473
한잎만,경상남도 거창군 거창읍 중앙로 173,음식점 및 주점업,35.6882403,127.9171849
다이어트하우스,경상남도 거창군 거창읍 중앙로1길 1(고센시티 503호),기타 개인 서비스업,35.6874702,127.9131227
최혜란미용실,경상남도 거창군 거창읍 중앙로 156,기타 개인 서비스업,35.6874994,127.915279
웰메이드,경상남도 거창군 거창읍 거창대로 98,소매업; 자동차 제외,35.6902524,127.9150725
랜드로바 거창점,경상남도 거창군 거창읍 거열로8길 57 현대아파트 103동 507호,소매업; 자동차 제외,35.6892252,127.8990347
가림농원,"경상남도 거창군 거창읍 소만2길 62, 102동 1층 101호(거창소만토지구획정리사업지구 12BL 소만주공아파트)",소매업; 자동차 제외,35.6947344,127.9229163
외등축산태양광발전소,경상남도 거창군 남상면 외등2길 13-6,"전기, 가스, 증기 및 공기 조절 공급업",35.6165649,127.8866207
카페우주,"경상남도 거창군 거창읍 중앙로 140, 바동 8호 ,9호",음식점 및 주점업,35.6868324,127.9140345
플러스수학교습소,경상남도 거창군 거창읍 강남로 266 (거창코아루에듀시티),교육 서비스업,35.6872339,127.9262853
새서울치과의원,경상남도 거창군 거창읍 거창대로 99,보건업,35.6901457,127.9144614
성한중기,경상남도 거창군 거창읍 밤티재로 1310,자동차 및 부품 판매업,35.6721112,127.9319583
성한중기,경상남도 거창군 거창읍 밤티재로 1310,자동차 및 부품 판매업,35.6720447262,127.9316333622
거창 건설용품 거창 상림점,"경상남도 거창군 거창읍 공수들1길 53, 1층",소매업; 자동차 제외,35.6869333366,127.9007900721
애터미2호점,경상남도 거창군 거창읍 시장길 31,소매업; 자동차 제외,35.6860056,127.912458
거창피순대돼지국밥,경상남도 거창군 가조면 방촌길 16-10,음식점 및 주점업,35.7064389,128.016011
또바기분식,경상남도 거창군 거창읍 거열로5길 5 또바기분식,음식점 및 주점업,35.6889579,127.9060831
