매장명,도로명주소,매장유형,위도,경도
노빌리티 테일러,전남 영암군 덕진면 청계길 17-6,소매업; 자동차 제외,34.8285670633,126.7121885386
새서울약국,전남 영암군 삼호읍 대불주거로 34,소매업; 자동차 제외,34.7453621511,126.4677257121
로망가든,전라남도 영암군 영암읍 낭주로 206,소매업; 자동차 제외,34.8061399,126.700042
영암가스에너지,전라남도 영암군 영암읍 백년동길 75 -0,소매업; 자동차 제외,34.8063124,126.6905562
에버그린,전라남도 영암군 영암읍 중앙로 14,음식점 및 주점업,34.7978322,126.6958866
삼호세탁나라,전라남도 영암군 삼호읍 대불주거로 82 102호,기타 개인 서비스업,34.7483617,126.4637234
청춘,"전라남도 영암군 삼호읍 대불주거5로1길 5, 101호",음식점 및 주점업,34.7545334,126.4552401
처갓집양념치킨퀸스빌점,전라남도 영암군 삼호읍 삼호중앙로 129(영암삼호퀸스빌2차아파트),음식점 및 주점업,34.7455554,126.4645062
화장품천국,전라남도 영암군 신북면 황금동로 75,소매업; 자동차 제외,34.8886783,126.6919671
GS25 삼호중흥점,전라남도 영암군 삼호읍 대불주거2로2길 15-16 (용앙리 1672-10),소매업; 자동차 제외,34.7544855795,126.4601739543
유한회사 레드정보통신,"전라남도 영암군 삼호읍 삼호중앙로 203, 1호",소매업; 자동차 제외,34.7455291,126.4729869
황소 ENG,전라남도 영암군 삼호읍 대불주거9로 76,개인 및 소비용품 수리업,34.7573086,126.4536965
금호세탁소,"전라남도 영암군 삼호읍 대불주거로 160,  상가동 2층 203호(금호타운)",기타 개인 서비스업,34.7533636,126.458415
협동식육식당,전라남도 영암군 서호면 장동길 22,음식점 및 주점업,34.7547757,126.5795663
청과야채,전라남도 영암군 시종면 남풍길 20-5,소매업; 자동차 제외,34.861487427,126.6072564483
원마트,전라남도 영암군 영암읍 서문로 12,소매업; 자동차 제외,34.7989221,126.6959694
동아중국식품,전라남도 영암군 삼호읍 대불주거1로1길 21,소매업; 자동차 제외,34.7524848,126.4554607
장어랑생고기,전라남도 영암군 삼호읍 신항로 114,음식점 및 주점업,34.7482355,126.3768891
내가찜한코다리찜(시종점),전라남도 영암군 시종면 마한로 1255 내가찜한코다리찜(시종점),음식점 및 주점업,34.8667762,126.6087941
현대3차세탁소,"전라남도 영암군 삼호읍 신항로 123-11, 103호(삼호3차사원임대아파트)",기타 개인 서비스업,34.7474013,126.375125
학산농기계,전라남도 영암군 미암면 망월천로 50-5,개인 및 소비용품 수리업,34.7235236,126.57034
돈돼야지,전라남도 영암군 영암읍 열무정로 42-1,음식점 및 주점업,34.799065181,126.7015967858
길목모터스,전라남도 영암군 삼호읍 대불로 407,개인 및 소비용품 수리업,34.7649054146,126.3940868739
열공스터디독서실,"전라남도 영암군 영암읍 열무정로 20, 건물 2층","창작, 예술 및 여가관련 서비스업",34.7987144,126.699009
동아리,전라남도 영암군 영암읍 중앙로 70-1,음식점 및 주점업,34.8021619,126.6994328
삼호중앙농장,전라남도 영암군 삼호읍 녹색로 1015-12,농업,34.7498691,126.4766626
김복남맥주,"전라남도 영암군 삼호읍 신촌길 10, (1층 좌측상가)",음식점 및 주점업,34.7466374,126.3801341
소문난국밥,전라남도 영암군 삼호읍 신촌길 8,음식점 및 주점업,34.7463792,126.3800686
칠칠광고,전라남도 영암군 영암읍 중앙로 30,기타 제품 제조업,34.7990365,126.6974297
월출입시학원,전라남도 영암군 영암읍 서문로 15-1,교육 서비스업,34.7991980417,126.6967074992
모밀항포차,전라남도 영암군 삼호읍 신항로 34,음식점 및 주점업,34.7442622,126.3836222
독천무안뻘낙지,전라남도 영암군 학산면 영산로 17,음식점 및 주점업,34.7253942,126.5688588
바다마트,전라남도 영암군 학산면 영산로 25,소매업; 자동차 제외,34.7257145,126.5679991
백제냉동,전라남도 영암군 삼호읍 저두길 130-1,소매업; 자동차 제외,34.7352666,126.4530623
돼지사랑123,전라남도 영암군 삼호읍 중앙촌길 22,음식점 및 주점업,34.7466647,126.4689108
팜한농 영암대리점,전라남도 영암군 시종면 육거리로 53-1,소매업; 자동차 제외,34.8666149,126.6040286
삼호할인마트,전라남도 영암군 삼호읍 삼호중앙로 204-14,소매업; 자동차 제외,34.7441375158,126.4728487325
데이앤데이영암삼호점,전라남도 영암군 삼호읍 대불주거로 68,소매업; 자동차 제외,34.7475386,126.464967
미광유통,"전라남도 영암군 삼호읍 세가래1길 17, 103동 1205호(종원아파트)",소매업; 자동차 제외,34.7475919,126.4735486
주식회사 세자매디씨마트,전라남도 영암군 삼호읍 세가래2길 6 호동빌딩 세자매디씨마트,소매업; 자동차 제외,34.7462305,126.4755222
해양산소,전라남도 영암군 삼호읍 매자리길 40-6,소매업; 자동차 제외,34.735795,126.5118504
선미용실,전라남도 영암군 시종면 마한로 1274,기타 개인 서비스업,34.8683556873,126.6094618898
비에이관리단(BA),전라남도 영암군 영암읍 청룡동길 86,전문직별 공사업,34.7888625,126.744863
해맑은떡집,전라남도 영암군 삼호읍 세가래2길 30-22,소매업; 자동차 제외,34.7475783,126.4728834
쌍우상사,전라남도 영암군 덕진면 예향로 1727,자동차 및 부품 판매업,34.8184556892,126.6973506787
BBQ치킨,전라남도 영암군 영암읍 중앙로 22-1,음식점 및 주점업,34.7984661,126.6967894
중앙시계,"전라남도 영암군 영암읍 중앙로 53, 1층",소매업; 자동차 제외,34.8007591,126.6985901
콩새헤어살롱,전라남도 영암군 영암읍 서남역로 17,기타 개인 서비스업,34.7995119,126.694876
통합신문사삼호지국,전라남도 영암군 삼호읍 신항로 120(１층),소매업; 자동차 제외,34.7484991,126.3759252
우즈베키스탄 레스토랑,전라남도 영암군 삼호읍 대불주거5로 40,음식점 및 주점업,34.753944707,126.4544835209
농업경영인한우직판장식당,전라남도 영암군 영암읍 성밖로 33,음식점 및 주점업,34.7972096,126.696025
복만다라면,전라남도 영암군 삼호읍 대불주거1로1길 19,음식점 및 주점업,34.7523442,126.4555387
대성종합커텐장식,전라남도 영암군 영암읍 군청로 5,소매업; 자동차 제외,34.7997874,126.6976533
X-세대 문구사,전라남도 영암군 영암읍 여중고길 11-1,소매업; 자동차 제외,34.8029831,126.7017047
일품양평해장국 전남영암점,전라남도 영암군 영암읍 서문안길 8,음식점 및 주점업,34.7985767,126.6953075
인피니티아이,전라남도 영암군 삼호읍 대불산단4로 308,기타 운송장비 제조업,34.7692181,126.4362627
바다양푼이동태탕,전라남도 영암군 영암읍 동문밖길 10,음식점 및 주점업,34.8013451,126.6998405
드림산전,전라남도 영암군 삼호읍 세관2길 41,소매업; 자동차 제외,34.771995226,126.4254213938
대성상회,"전라남도 영암군 학산면 영산로 16, 1층",소매업; 자동차 제외,34.7252997,126.5692407
삼일문구수퍼,전라남도 영암군 삼호읍 중앙촌길 25 전라남도 영암군 삼호읍 중앙촌길 25,소매업; 자동차 제외,34.7466593,126.4693496
바우편의점,전라남도 영암군 영암읍 천황사로 280-11 바우편의점,소매업; 자동차 제외,34.7776769,126.7229722
월창가게,전라남도 영암군 미암면 월창길 2 (채지리)월창가게,소매업; 자동차 제외,34.7238024,126.5708092
역리이발관,전라남도 영암군 영암읍 중앙로 61,기타 개인 서비스업,34.8014785,126.6989186
농민농약사,전라남도 영암군 영암읍 오일시장길 27 농민농약사,소매업; 자동차 제외,34.8018965,126.7009483
우주탁송,"전라남도 영암군 삼호읍 대불주거6로 16, 115동 2205호(중흥에스클래스리버티)",기타 개인 서비스업,34.7551878,126.4598038
기찬나주곰탕,전라남도 영암군 삼호읍 대불주거로 195 기찬나주곰탕,음식점 및 주점업,34.7557794,126.45548
삼호2호태양광발전소,전라남도 영암군 삼호읍 모밀항길 87-11 용당리1221-1,"전기, 가스, 증기 및 공기 조절 공급업",34.7509549,126.3876413
묵돌이,전라남도 영암군 덕진면 백운선로 22,음식점 및 주점업,34.8205039,126.6990646
오병이어,전라남도 영암군 금정면 영나로 1003 전남영암군금정면월평리501-4,음식점 및 주점업,34.8736897,126.7471325
서우 태양광발전소,전라남도 영암군 신북면 이천양지촌길 36-9 이천리366번지,"전기, 가스, 증기 및 공기 조절 공급업",34.8787242,126.6963008
개인택시(이인),"전라남도 영암군 삼호읍 대불주거로 160, 106동 910호(대불1단지금호타운)",육상 운송 및 파이프라인 운송업,34.7533636,126.458415
BHC 전남영암점,전라남도 영암군 영암읍 중앙로 31,음식점 및 주점업,34.7992529,126.6972159
금정아천농장,전라남도 영암군 금정면 아천길 92,도매 및 상품 중개업,34.8512719,126.7430681
카페스타,전라남도 영암군 영암읍 중앙로 35-1 1-2층,음식점 및 주점업,34.7995503,126.6975043
대천가든,전라남도 영암군 미암면 흑석로 1711-7,음식점 및 주점업,34.7089259,126.5609654
신도가스,전라남도 영암군 신북면 호산로 605,소매업; 자동차 제외,34.87994,126.6786249
삼호앤,전라남도 영암군 삼호읍 대불주거1로18길 15,음식점 및 주점업,34.7514436,126.4536458
요술공주,"전라남도 영암군 삼호읍 대불주거5로 12, 1층",기타 개인 서비스업,34.7544555,126.4558323
태평양모텔,전라남도 영암군 삼호읍 대불로 245 태평양 모텔,숙박업,34.7523243,126.3860872
UTOPIA GAS STATION,전라남도 영암군 삼호읍 녹색로 993 유토피아 충전소,소매업; 자동차 제외,34.7518301,126.4750241
배보네보쌈왕족발,전라남도 영암군 삼호읍 세가래2길 30-25(외1필지),음식점 및 주점업,34.7479225,126.4727436
유토피아모텔,전라남도 영암군 삼호읍 삼포로 325,숙박업,34.7453659166,126.4082236291
김밥이야기,"전라남도 영암군 삼호읍 대불주거로 160, 104호(상가)",음식점 및 주점업,34.7533636,126.458415
솔궁회관,전라남도 영암군 삼호읍 나불외도로 13-14,음식점 및 주점업,34.7753016471,126.4582931408
먹싸마트,전라남도 영암군 삼호읍 신호정길 20-99,소매업; 자동차 제외,34.7513018725,126.4850397861
대운,전라남도 영암군 영암읍 중앙로 89 2층,사업 지원 서비스업,34.8039724,126.6995971
영일발파ENG,전라남도 영암군 삼호읍 용당리 1924-1 1926-36,전문직별 공사업,34.7491884,126.3756893
열매농장가든,전라남도 영암군 삼호읍 삼호중앙로 160-13,음식점 및 주점업,34.7454485313,126.4681441755
지，정，의 학원,전라남도 영암군 삼호읍 삼호중앙로 234(2층),교육 서비스업,34.7455175,126.4763057
르네상스,전라남도 영암군 영암읍 월출로 9-6 르네상스모텔,숙박업,34.7956273,126.6851592
운유재민박,전라남도 영암군 군서면 상대포로 150-16,숙박업,34.7587541,126.6194074
중앙상회,전라남도 영암군 서호면 장동길 4 4,소매업; 자동차 제외,34.7552504,126.581211
서릿등,전라남도 영암군 도포면 회호정길 41-38,음식점 및 주점업,34.8508891525,126.6433306591
지은이네꽃집,전라남도 영암군 영암읍 교동로 40,소매업; 자동차 제외,34.7964403539,126.6895190374
마이컴퓨터,전라남도 영암군 삼호읍 대불주거로 34 마이컴퓨터,소매업; 자동차 제외,34.7453722,126.467733
우리동네 대불점,전라남도 영암군 삼호읍 대불주거7로 25,소매업; 자동차 제외,34.755087,126.4531516
대불고고 광택 셀프세차장,전라남도 영암군 삼호읍 대불주거5로 112,개인 및 소비용품 수리업,34.7526724,126.450775
휴아로마,전라남도 영암군 삼호읍 신항로 118 2층,기타 개인 서비스업,34.7484108,126.376166
