매장명,도로명주소,매장유형,위도,경도
합천라온오토캠핑장,경상남도 합천군 용주면 가호월평길 2,숙박업,35.5522689723,128.0560191782
더샵#,경상남도 합천군 합천읍 대야로 905,기타 개인 서비스업,35.5691141,128.1632439
삼거리식당,경상남도 합천군 청덕면 의합대로 2927 삼거리식당,음식점 및 주점업,35.5269205,128.3582458
삼가 농수산물 상사,경상남도 합천군 삼가면 삼가중앙길 21,소매업; 자동차 제외,35.413402,128.12197
밤마리오광대 영농조합법인,경상남도 합천군 덕곡면 율지2길 13-7 밤마리권역영농조합법인,스포츠 및 오락관련 서비스업,35.6155366,128.3596017
유경희,경상남도 합천군 합천읍 장계2길 83-2,기타 개인 서비스업,35.6054616,128.1179629
지리산샘물 합천대리점,경상남도 합천군 율곡면 대야로 1319,도매 및 상품 중개업,35.5970205,128.1853206
갓구운농협베이커리,경상남도 합천군 합천읍 대야로 904,음식점 및 주점업,35.5687694,128.164129
중국성,경상남도 합천군 가회면 신등가회로 904 1층,음식점 및 주점업,35.4356498,128.0355155
원스타헤어,경상남도 합천군 삼가면 삼가1로 70,기타 개인 서비스업,35.4143642095,128.1211225883
"굿모닝의료기,보청기",경상남도 합천군 합천읍 동서로 87,도매 및 상품 중개업,35.5670873,128.1619592
한량아세탁소,경상남도 합천군 가야면 가야시장로 66-2,기타 개인 서비스업,35.7605264,128.1389722
유성사,경상남도 합천군 대병면 신성동길 12,소매업; 자동차 제외,35.5221889,128.0152987
위더스교육센터,경상남도 합천군 합천읍 충효로1길 8-14,사업 지원 서비스업,35.562276,128.1610702
하나전동영농조합법인,경상남도 합천군 용주면 합천호수로 816-18,스포츠 및 오락관련 서비스업,35.5451676981,128.0877564565
현대모터스,경상남도 합천군 야로면 선원우복길 25,개인 및 소비용품 수리업,35.7090072,128.1687125
유린참기름,경상남도 합천군 삼가면 삼가1로 72-1,소매업; 자동차 제외,35.4144408,128.1211548
세명인쇄,경상남도 합천군 합천읍 옥산로 44,인쇄 및 기록매체 복제업,35.568307,128.1604127
신전떡볶이 합천점,경상남도 합천군 합천읍 동서로 43,음식점 및 주점업,35.5674946943,128.1574305658
신전떡볶이 합천점,경상남도 합천군 합천읍 동서로 43,음식점 및 주점업,35.5674947,128.1574309
해인사정류소슈퍼,경상남도 합천군 가야면 가야산로 1808,소매업; 자동차 제외,35.792244,128.0885485
쇼팽피아노학원,경상남도 합천군 합천읍 대야로 869,교육 서비스업,35.5660027,128.1627236
다온벌꿀,경상남도 합천군 합천읍 인곡1길 34-41,농업,35.6023344,128.1013292
수명당,경상남도 합천군 초계면 초계중앙로 53,소매업; 자동차 제외,35.5592736,128.2658631
공간인테리어 설비,"경상남도 합천군 합천읍 충효로3길 6, 1층",전문직별 공사업,35.5659009,128.1613772
반달식당,경상남도 합천군 초계면 내동2길 2,음식점 및 주점업,35.5593631151,128.2657168042
들꽃촌,경상남도 합천군 대병면 합천호수로 102,음식점 및 주점업,35.5237507,128.0278371
가야오토바이쎈타，가야용역,경상남도 합천군 가야면 가야시장로 83,자동차 및 부품 판매업,35.7620177,128.1389518
코웨이 합천사업국,경상남도 합천군 합천읍 핫들2로 11-5 1층,소매업; 자동차 제외,35.5689718,128.1660597
대가야 그린에너지,경상남도 합천군 가야면 가천길 32,"전기, 가스, 증기 및 공기 조절 공급업",35.7437441,128.0961172
제일통신,경상남도 합천군 합천읍 서산길 69-49,전문직별 공사업,35.5756972,128.1407519
대명전기감리,경상남도 합천군 합천읍 충효로 84-3,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",35.5678825,128.161539
영진설비,경상남도 합천군 봉산면 김봉길 25-6 25-6,음식점 및 주점업,35.6267845,128.0416935
베지밀합천대리점,경상남도 합천군 합천읍 충효로 104 미림빌라 101호,도매 및 상품 중개업,35.5695401,128.1621001
저잣길65,경상남도 합천군 합천읍 동서로 65,음식점 및 주점업,35.5673254,128.1595647
한탄강식당,경상남도 합천군 삼가면 소오길 44,음식점 및 주점업,35.4086318,128.1188842
