매장명,도로명주소,매장유형,위도,경도
정우이불,경남 밀양시 하남읍,소매업; 자동차 제외,35.37539,128.711042
노노하나,경남 밀양시 중앙로 289-21,음식점 및 주점업,35.4878966684,128.7537417673
산소리음악학원,경남 밀양시 중앙로 280,교육 서비스업,35.4879856914,128.7549747288
스즈란,경남 밀양시 중앙로 139,음식점 및 주점업,35.477893,128.7640949
황금알 얼음골농원,경상남도 밀양시 산내면 남명3길 28,기타 개인 서비스업,35.5817028,128.9486089
민속떡방앗간,경상남도 밀양시 하남읍 시서길 9,식료품 제조업,35.3742961,128.7079446
한아름미용실,경상남도 밀양시 무안면 사명로 503 한아름헤어,기타 개인 서비스업,35.4696769912,128.6515535352
자작나무 카페,경상남도 밀양시 영남루1길 15 (내일동),음식점 및 주점업,35.4923483,128.7554686
국제사무용가구,경상남도 밀양시 내이2길 7 월드퍼니처,소매업; 자동차 제외,35.4973800446,128.7439092621
미림돌솥밥,경상남도 밀양시 석정로 50 같음,음식점 및 주점업,35.4943109,128.7515586
지우공방,경상남도 밀양시 시청서4길 24 (내이동),소매업; 자동차 제외,35.504658,128.7419392
예림금속샷시,경상남도 밀양시 상남면 예림1길 30-1,소매업; 자동차 제외,35.468768,128.7594383
신삼문커피집,경상남도 밀양시 미리벌중앙로1길 24-12 (삼문동),음식점 및 주점업,35.4816499,128.7476667
삼이농원,경상남도 밀양시 산내면 하양지안길 25-3,소매업; 자동차 제외,35.5986602,128.9546609
주공상회,"경상남도 밀양시 밀양대로 1783-4, 1층 102호 (삼문동, 주공아파트상가동)",소매업; 자동차 제외,35.4843739,128.7510646
부전연탄산곰장어&태평양참치대가리,경상남도 밀양시 미리벌중앙로1길 12-1 (삼문동),음식점 및 주점업,35.481757,128.7486496
한국드론방제,경상남도 밀양시 부북면 퇴로로 367,소매업; 자동차 제외,35.5415056,128.7100986
네일바다,경상남도 밀양시 남천강변로3길 21 (내이동)2층 네일바다,기타 개인 서비스업,35.49263,128.7499258
네일바다,경상남도 밀양시 남천강변로3길 21 (내이동),기타 개인 서비스업,35.4926299821,128.7499254892
삼랑진 i.c주유소,경상남도 밀양시 삼랑진읍 삼랑진로 186,소매업; 자동차 제외,35.3937864,128.8358567
퇴로고가영농조합법인,경상남도 밀양시 부북면 퇴로로 233,농업,35.5489061,128.7006273
바다양푼이동태탕  수산점,경상남도 밀양시 하남읍 수산로 11,음식점 및 주점업,35.3774926,128.7109202
밀가루집,경상남도 밀양시 교동로5길 25 밀가루집,음식점 및 주점업,35.5107473,128.7563934
본죽&비빔밥 밀양점,경상남도 밀양시 석정로 37 (내일동),음식점 및 주점업,35.4930806,128.7512249
밀양김밥,경상남도 밀양시 상남면 운하길 1,음식점 및 주점업,35.4647705,128.7573376
파트라슈반려견센터,경상남도 밀양시 상남면 조남길 151-37,교육 서비스업,35.4245119,128.7330318
만금당,"경상남도 밀양시 백민로 69, 101동 1층 1호 (내이동)",소매업; 자동차 제외,35.4986092548,128.7464636296
만금당,"경상남도 밀양시 백민로 69, 101동 1층 1호 (내이동)",소매업; 자동차 제외,35.4986093,128.7464639
선인태권도장,경상남도 밀양시 삼랑진읍 만어로 8-4(2층),교육 서비스업,35.4002627,128.8423985
파란통도시락,경상남도 밀양시 부북면 송포로 118 파란통도시락,음식점 및 주점업,35.4752636,128.7258611
파란통도시락,경상남도 밀양시 부북면 송포로 118,음식점 및 주점업,35.4752746356,128.7258517688
동광철물,경상남도 밀양시 내이4길 25,소매업; 자동차 제외,35.4995557995,128.7450947416
동광철물,경상남도 밀양시 내이4길 25,소매업; 자동차 제외,35.4995873086,128.7450665917
퍼피프린스,경상남도 밀양시 백민로4길 28-1(내이동),기타 개인 서비스업,35.4942427,128.7508363
지유상사,"경상남도 밀양시 내일상가2길 7, 1층 (내일동)",소매업; 자동차 제외,35.4923178,128.7529424
유성식당,경상남도 밀양시 상남면 예림1길 12-3,음식점 및 주점업,35.4672596,128.7597378
밀양신짬뽕,"경상남도 밀양시 중앙로 56-7, 1층 (가곡동)",음식점 및 주점업,35.4735551,128.7718214
의료법인생명사랑의료재단밀양윤병원,경상남도 밀양시 삼문중앙로 32 (삼문동),보건업,35.4846367,128.7556256
온더밸리,경상남도 밀양시 산내면 얼음골로 58,음식점 및 주점업,35.5826172,128.9697248
주식회사 유스마일,경상남도 밀양시 시청서4길 8(내이동),기타 제품 제조업,35.5033971,128.7408937
오늘,경상남도 밀양시 삼랑진읍 천태로 140,음식점 및 주점업,35.4008987,128.8495506
다원반점,경상남도 밀양시 산외면 산외강변로 455,음식점 및 주점업,35.5024216,128.8263708
쌈지,경상남도 밀양시 석정로 13(내일동),소매업; 자동차 제외,35.4916596,128.75255
술독,경상남도 밀양시 미리벌중앙로5길 16 (삼문동),음식점 및 주점업,35.4833546,128.7471441
얼음골사과나라,경상남도 밀양시 산내면 도래재로 892,소매업; 자동차 제외,35.5818109,128.9511838
가자냉동시스템,경상남도 밀양시 백민로 52 (내이동),소매업; 자동차 제외,35.4972862,128.7472446
카페&별빛펜션,경상남도 밀양시 단장면 도래재로 578,음식점 및 주점업,35.5615593,128.941701
밀양사랑사회적협동조합,경상남도 밀양시 내일상가2길 5-15(내일동),음식점 및 주점업,35.4925259,128.7526162
영록한우직판장,경상남도 밀양시 가곡11길 4(가곡동),소매업; 자동차 제외,35.4764926,128.7651041
