매장명,도로명주소,매장유형,위도,경도
비원,경상남도 하동군 화개면 화개로 641,숙박업,35.2400121001,127.6416285333
비원,경상남도 하동군 화개면 화개로 641 비원,숙박업,35.2400121,127.6416289
모가(MOGA)드론,경상남도 하동군 악양면 개치미동길 19-4,사업 지원 서비스업,35.1313939,127.6968698
유한회사 안전가스설비,경상남도 하동군 적량면 중도길 20-6,소매업; 자동차 제외,35.0719137,127.7725921
극동철물,경상남도 하동군 하동읍 중앙로 23,도매 및 상품 중개업,35.07022,127.7499641
삼채나라,경상남도 하동군 적량면 관동길 31 관리,소매업; 자동차 제외,35.0877136,127.7677701
부산식당,경상남도 하동군 하동읍 중앙2길 11,음식점 및 주점업,35.0698682058,127.7473119136
바디스미스,경상남도 하동군 하동읍 경서대로 144,스포츠 및 오락관련 서비스업,35.0678931,127.7498165
횡천농기계,경상남도 하동군 횡천면 횡계길 6,기타 개인 서비스업,35.108382,127.8131196
삼원다원,경상남도 하동군 화개면 삼신길 28,소매업; 자동차 제외,35.2112861,127.6362037
태주상사,"경상남도 하동군 하동읍 섬진강대로 2176, 1층",소매업; 자동차 제외,35.0683378,127.7409953
옥종식육점,경상남도 하동군 옥종면 옥종중앙길 57,소매업; 자동차 제외,35.1805343,127.8793752
송송,경상남도 하동군 화개면 쌍계로 15,음식점 및 주점업,35.1880401875,127.6240867761
롯데수퍼,"경상남도 하동군 하동읍 경서대로 89, 1층",소매업; 자동차 제외,35.0647219,127.7462758
김정선헤어샵,경상남도 하동군 하동읍 시장1길 27 김정선미용실,기타 개인 서비스업,35.0681526,127.7492467
일진보일러,경상남도 하동군 금성면 금성중앙길 167,전문직별 공사업,34.9637275787,127.8047505997
일진보일러,경상남도 하동군 금성면 금성중앙길 167,전문직별 공사업,34.9637275922,127.8047506436
하늘드론교육원,경상남도 하동군 옥종면 옥산서원길 11,교육 서비스업,35.1602403967,127.883935322
하늘드론교육원,경상남도 하동군 옥종면 옥산서원길 11,교육 서비스업,35.1602823336,127.883898803
문도양상추식당,경상남도 하동군 하동읍 문도길 24,음식점 및 주점업,35.0378822,127.7758992
화개송이농산,경상남도 하동군 화개면 쌍계로 361-5,소매업; 자동차 제외,35.212911,127.6401933
고전만물수리센타,경상남도 하동군 고전면 하동읍성로 645,개인 및 소비용품 수리업,35.0216897,127.8408542
전도분식,경상남도 하동군 금남면 섬진강대로 962,음식점 및 주점업,34.9967922,127.8104237
풍교헌,경상남도 하동군 청암면 청학로 2444 풍교헌,교육 서비스업,35.2392424,127.7166114
