매장명,도로명주소,매장유형,위도,경도
유람선식당,경상남도 남해군 창선면 동부대로2964번길 5,음식점 및 주점업,34.9158386469,128.0300034988
달빛마루,경상남도 남해군 설천면 강진로 141-25,숙박업,34.9082876,127.9210377
대봉식당,경상남도 남해군 창선면 창선로 92-18,음식점 및 주점업,34.8577744,128.0134894
은모래펜션,경상남도 남해군 상주면 남해대로701번길 21,숙박업,34.7223940847,127.9855367048
낚시가 좋아,경상남도 남해군 미조면 동부대로 9,소매업; 자동차 제외,34.7294047,128.0315718
옥천탕,"경상남도 남해군 창선면 창선로 102-1, 1층",기타 개인 서비스업,34.8580003,128.013024
헤테로토피아(Heterotopia),경상남도 남해군 삼동면 봉화로 538-1,"창작, 예술 및 여가관련 서비스업",34.8095297221,127.9816978472
헤테로토피아(Heterotopia),경상남도 남해군 삼동면 봉화로 538-1,"창작, 예술 및 여가관련 서비스업",34.8095297,127.9816978
삼다도해물,경상남도 남해군 미조면 미조로236번길 45-4,음식점 및 주점업,34.7125186,128.0472111
밥뜰애,경상남도 남해군 상주면 남해대로 692,음식점 및 주점업,34.7234201,127.9873223
파인빌모텔,경상남도 남해군 남해읍 화전로 114-8,숙박업,34.8417011,127.8944254
신강,경상남도 남해군 남면 남서대로 761,소매업; 자동차 제외,34.7707316,127.8883449
창선101,경상남도 남해군 창선면 창선로 101,음식점 및 주점업,34.8579723,128.0123688
미니스톱 남해대교엔젤점,경상남도 남해군 설천면 노량로183번길 12,소매업; 자동차 제외,34.9411556,127.8745526
카페라운지,경상남도 남해군 남면 남면로1031번길 48,음식점 및 주점업,34.7317941,127.8626432
남해애아구찜,경상남도 남해군 남해읍 화전로96번길 4,음식점 및 주점업,34.8397617,127.8942956
부일반점,경상남도 남해군 남해읍 화전로122번가길 14,음식점 및 주점업,34.8430989,127.8958515
씨드래곤 다이브,경상남도 남해군 남해읍 화전로 53-1,소매업; 자동차 제외,34.8360547,127.8943947
남해묘지관리（대한장의사）,경상남도 남해군 남해읍 화전로96번길 35-5 남해묘지 관리센타,기타 개인 서비스업,34.840424,127.8976171
화랑갈비,경상남도 남해군 남해읍 화전로38번길 21-1,음식점 및 주점업,34.8368575,127.895217
김홍표부동산,경상남도 남해군 남해읍 화전로 93,소매업; 자동차 제외,34.8395325,127.8938327
영진샷시,경상남도 남해군 남해읍 화전로43번길 11-27 영진샷시,소매업; 자동차 제외,34.8342100866,127.8945913748
영진샷시,경상남도 남해군 남해읍 화전로43번길 11-27,소매업; 자동차 제외,34.8342100866,127.8945913748
마린·갤러리,경상남도 남해군 삼동면 동부대로1030번길 42-26,음식점 및 주점업,34.7937496,128.0528168
청포반점,경상남도 남해군 남해읍 화전로 144,음식점 및 주점업,34.8439466,127.8947535
상주공업사,경상남도 남해군 상주면 남해대로 780,전문 서비스업,34.730162,127.9824711
호텔어반아일랜드,경상남도 남해군 창선면 서부로 1503-22,숙박업,34.9193636,128.0254438
이정현건어물,경상남도 남해군 삼동면 동부대로 1285,소매업; 자동차 제외,34.8075668,128.0351414
리빙텔레콤 남해점,경상남도 남해군 남해읍 화전로 77(베스킨라벤스31아이스크림),소매업; 자동차 제외,34.8380866,127.8939196
웰빙스포츠,경상남도 남해군 이동면 무림로 44,소매업; 자동차 제외,34.8018189,127.9528086
미광컴퓨터세탁,경상남도 남해군 남해읍 화전로 95,기타 개인 서비스업,34.8397443,127.8938069
씨원시스템에어컨,경상남도 남해군 고현면 탑동로 64-1,소매업; 자동차 제외,34.8967977,127.8726916
묵고갈래,경상남도 남해군 미조면 미조로236번길 20,음식점 및 주점업,34.7115362,128.0470937
대림오토바이 남해대리점,경상남도 남해군 남해읍 화전로 30-1,자동차 및 부품 판매업,34.8347917,127.8962144
참선진 녹즙 남해지사,경상남도 남해군 남해읍 망운로19번길 61-14,소매업; 자동차 제외,34.8347624,127.8926967
맹이네분식,경상남도 남해군 미조면 미조로14번길 1,음식점 및 주점업,34.7128153,128.0466458
아버지공방/화가와꽃,경상남도 남해군 남면 남면로202번길 16,소매업; 자동차 제외,34.7558025,127.9012067
초량정,경상남도 남해군 남해읍 화전로38번길 28-4,음식점 및 주점업,34.8372232,127.895416
영수건재,경상남도 남해군 남해읍 화전로96번길 35-7,소매업; 자동차 제외,34.8406213,127.8977076
영수건재,경상남도 남해군 남해읍 화전로96번길 35-7,소매업; 자동차 제외,34.8401021543,127.8978213189
남일약국,경상남도 남해군 창선면 창선로 67,소매업; 자동차 제외,34.8551951197,128.0131272372
남일약국,경상남도 남해군 창선면 창선로 67,소매업; 자동차 제외,34.8551951047,128.0131272836
무지개,경상남도 남해군 남해읍 화전로96번가길 3,소매업; 자동차 제외,34.8401568,127.894749
터미널편의점,경상남도 남해군 남해읍 남해대로 2835,소매업; 자동차 제외,34.8417908,127.8984846
힘찬공조,경상남도 남해군 미조면 동부대로538번길 22,개인 및 소비용품 수리업,34.7556687,128.0532753
이레원,경상남도 남해군 미조면 남해대로 95-3,숙박업,34.7205301,128.0348802
이레원,경상남도 남해군 미조면 남해대로 95-3,숙박업,34.7205301541,128.0348799206
씨유 남해독일마을점,경상남도 남해군 삼동면 독일로 25,소매업; 자동차 제외,34.7969317,128.0435626
도담태권도,경상남도 남해군 남해읍 화전로 37 2층,교육 서비스업,34.834883,127.8950485
펜션빈,경상남도 남해군 미조면 동부대로 33,숙박업,34.731142,128.032688
하노버,경상남도 남해군 삼동면 독일로 61-31,숙박업,34.798647417,128.0395555547
티라게스트하우스,경상남도 남해군 설천면 설천로 587,숙박업,34.9166721603,127.9163152027
티라게스트하우스,경상남도 남해군 설천면 설천로 587,숙박업,34.9165847243,127.9163581459
해피하우스,경상남도 남해군 남해읍 화전로 67-1 1층해피하우스,소매업; 자동차 제외,34.8373143,127.8941121
남해게스트하우스 다락,경상남도 남해군 남면 무지개로 172-42,숙박업,34.745832812,127.8915269094
남해게스트하우스 다락,"경상남도 남해군 남면 무지개로 172-42, 남해게스트하우스 다락",숙박업,34.7458756,127.8915494
바다야 놀자,경상남도 남해군 창선면 동부대로2576번길 8-40,숙박업,34.8854782,128.0144802
시장연흥상회,경상남도 남해군 남해읍 화전로 110 연흥상회,소매업; 자동차 제외,34.8401734,127.8944803
남해디자인·건축,"경상남도 남해군 남해읍 에코파크길 31, 1층",전문직별 공사업,34.8345694,127.9042329
아린,경상남도 남해군 삼동면 동부대로1662번길 29-15,숙박업,34.832036929,128.0188854242
조물딱 공예,경상남도 남해군 남면 남서대로 837,교육 서비스업,34.7715117,127.8803587
진이식당,경상남도 남해군 미조면 미조로 234,음식점 및 주점업,34.7108,128.0472203
오휘남해,경상남도 남해군 남해읍 화전로43번길 11-7,소매업; 자동차 제외,34.8338211,127.8950282
남해공업사,경상남도 남해군 삼동면 동부대로1122번길 18-7,전문직별 공사업,34.7979749024,128.0450186462
애니카랜드（남해점）,경상남도 남해군 남해읍 화전로 12,개인 및 소비용품 수리업,34.8341212,127.8982012
금영이벤트기획사,경상남도 남해군 남해읍 화전로122번길 3,"창작, 예술 및 여가관련 서비스업",34.8422718,127.8942935
남양우유남해대리점,경상남도 남해군 남해읍 남해대로 2753-15,음식점 및 주점업,34.8345527,127.8977734
롯데유통,경상남도 남해군 남해읍 남해대로2970번길 30 롯데유통,소매업; 자동차 제외,34.8546493398,127.8933638653
롯데유통,경상남도 남해군 남해읍 남해대로2970번길 30,소매업; 자동차 제외,34.8546493398,127.8933638653
명품이벤트,경상남도 남해군 설천면 설천로 716-1,사업 지원 서비스업,34.9268246,127.913999
수정부동산개발,경상남도 남해군 서면 화방로 346,부동산업,34.871703,127.8600485
수정부동산개발,경상남도 남해군 서면 화방로 346,부동산업,34.8717029606,127.8600481894
버팀목 공부방,경상남도 남해군 남해읍 화전로 72-2,교육 서비스업,34.837682,127.8943683
영준수산,경상남도 남해군 삼동면 동부대로 1058 부광수산,도매 및 상품 중개업,34.7940294,128.0474071
포인텐 수학 교습소,"경상남도 남해군 남해읍 화전로38번길 30-1, 2층",교육 서비스업,34.8376204152,127.8952287799
24시 야식．노래연습장,경상남도 남해군 설천면 노량로 191,음식점 및 주점업,34.9405888,127.8740059
삼공삼공영어교습소,경상남도 남해군 남해읍 화전로95번길 7,교육 서비스업,34.8396647617,127.8932000727
제1홍성호,경상남도 남해군 창선면 동부대로2843번길 35-1,어업,34.9077758,128.0259664
제1홍성호,경상남도 남해군 창선면 동부대로2843번길 35-1,어업,34.9078302845,128.0259988378
영미 태양광발전소,경상남도 남해군 삼동면 봉화로531번길 27-18,"전기, 가스, 증기 및 공기 조절 공급업",34.806351,127.9830382
동암EMC,경상남도 남해군 설천면 설천로364번길 79-13,기타 기계 및 장비 제조업,34.8975014701,127.9191913628
동암EMC,경상남도 남해군 설천면 설천로364번길 79-13,기타 기계 및 장비 제조업,34.8974281,127.9190189
제일가축인공수정센터,경상남도 남해군 이동면 초음로37번길 18-3,농업,34.8191926,127.9292127
보물섬부동산컨설팅,경상남도 남해군 서면 남서대로 1657,부동산업,34.8093586,127.8369011
레드 퀸,경상남도 남해군 남해읍 화전로96번가길 24 2층 레드퀸 헤어샾,기타 개인 서비스업,34.8420312,127.8948928
한려종합중기,경상남도 남해군 남해읍 화전로 154(현대아파트상가 101동 203호),전문직별 공사업,34.8452156,127.8953863
가족사랑체험펜션,경상남도 남해군 삼동면 죽방로 495,숙박업,34.8168919,127.9675573
아인,경상남도 남해군 상주면 남해대로1299번길 25,숙박업,34.7422234,127.9489084
숭구메,"경상남도 남해군 남해읍 화전로78번길 12, 지하",음식점 및 주점업,34.8380996,127.8953409
다랭이삼색김밥,경상남도 남해군 남면 남면로679번길 19,음식점 및 주점업,34.7275327,127.8944183
경동나비엔남해대리점,경상남도 남해군 남해읍 화전로38번길 10-1,도매 및 상품 중개업,34.8358565,127.8957555
