매장명,도로명주소,매장유형,위도,경도
(주)토마토스포츠,전남 고흥군 금산면 금산중촌길 2-1,소매업; 자동차 제외,34.4605023,127.1266943
맑고밝고따뜻한협동조합,전라남도 고흥군 포두면 외산길 13,식료품 제조업,34.542372,127.3584196
동남의류,경상남도 창녕군 동포길,음식점 및 주점업,35.3901073,128.4810448
쇼팽음악학원,전라남도 고흥군 고흥읍 흥양길,교육 서비스업,34.6100748,127.2871083
케익하우스만나,전남 고흥군 고흥읍 남계리,음식점 및 주점업,34.6112,127.2896
보광한의원,전라남도 고흥군 도양읍 녹동남촌1길 6-1,보건업,34.5293788,127.1380046
세븐일레븐 고흥주공점,전라남도 고흥군 고흥읍 봉동주공길 21-1,음식점 및 주점업,34.6066359,127.2898196
팔복수산,전라남도 고흥군 고흥읍 시장천변길 29-3,음식점 및 주점업,34.6082443,127.2868779
아디다스고흥점,전남 고흥군 고흥읍 남계리,음식점 및 주점업,34.6112,127.2896
청우식품(거금도수산),전라남도 고흥군 도양읍 녹동남문길 18-1,소매업; 자동차 제외,34.5290142,127.133916
실과바늘,전라남도 고흥군 고흥읍 봉황길 19-1,소매업; 자동차 제외,34.6091456,127.2846841
은영이네생선,전라남도 고흥군 고흥읍 시장길 1,소매업; 자동차 제외,34.6083637,127.2865871
터미널상회,전라남도 고흥군 고흥읍 여산당촌길 22,음식점 및 주점업,34.6077061,127.2807432
유한회사 도화비타민,전라남도 고흥군 도화면 중심길 73,음식점 및 주점업,34.5136685,127.3205917
우먼로드,전남 고흥군 고흥읍 서문리,소매업; 자동차 제외,34.6099,127.2787
고흥종합병원,전남 고흥군 고흥읍 남계리,교육 서비스업,34.6210944644,127.2940059485
합동슈퍼,전라남도 고흥군 동강면 원유둔1길 12-1,소매업; 자동차 제외,34.780536231,127.3334486027
녹동농협 하나로마트 가룡점,전라남도 고흥군 도덕면 고흥만로 496,소매업; 자동차 제외,34.6053867,127.1824302
녹동농협 도덕지점 하나로마트,전남 고흥군 도양읍 봉암리,소매업; 자동차 제외,34.4963,127.1473
녹동농협관리지점,전라남도 고흥군 도양읍 관리수안동길 18,음식점 및 주점업,34.5639876354,127.1455301378
카페라온,전라남도 고흥군 도양읍 녹동남촌1길,음식점 및 주점업,34.529549284,127.1379964238
엉클제이스모크하우스,전라남도 고흥군 고흥읍 고흥로,음식점 및 주점업,34.6155227265,127.3003189539
삼형수퍼,전남 고흥군 고흥읍 호형리,소매업; 자동차 제외,34.5969,127.3001
씨유(CU)고흥과역점,전라남도 고흥군 과역면 송학큰길 43-7,음식점 및 주점업,34.6802033,127.3608509
가마솥국밥,전남 고흥군 고흥읍 서문리,음식점 및 주점업,34.6099,127.2787
녹동만남의광장,전라남도 고흥군 도양읍 비봉뚝길 37-4,소매업; 자동차 제외,34.5330415,127.140478
코코아,전라남도 고흥군 고흥읍 고흥로 1792,음식점 및 주점업,34.6093174,127.2889214
수한의원,전라남도 고흥군 고흥읍 여산당촌길,보건업,34.6076588545,127.2800451517
사도구매점,전라남도 고흥군 영남면 사도진해안길 133,소매업; 자동차 제외,34.5830045,127.4191503
현대방앗간,전라남도 고흥군 고흥읍 학교길 76-3,식료품 제조업,34.6089912,127.2875308
풍양농협서부지소,전남 고흥군 풍양면,음식점 및 주점업,34.5753716732,127.2128145135
미니스톱 고흥하나로점,전라남도 고흥군 고흥읍 고흥로 1757,음식점 및 주점업,34.6076487,127.2866034
백양꽃화원,전남 고흥군 고흥읍 남계리,소매업; 자동차 제외,34.6112,127.2896
또또청과건어물,전라남도 고흥군 고흥읍 고흥로 1759,소매업; 자동차 제외,34.6076459,127.2868644
세븐일레븐 고흥남계메디컬점,전라남도 고흥군 고흥읍 고흥군청로 33,음식점 및 주점업,34.6051573,127.2805082
홍루이젠 고흥녹동점,전라남도 고흥군 도양읍 우주항공로 16,음식점 및 주점업,34.525356,127.1411618
파랑새주유소,전남 고흥군 점암면 연봉리,소매업; 자동차 제외,34.6598105049,127.3512522684
고흥군청,전라남도 고흥군 고흥읍 흥양길 40,자동차 및 부품 판매업,34.6114112579,127.2850322369
오치식당,전라남도 고흥군 도화면 중심길 47,음식점 및 주점업,34.5113314,127.3200883
갱풍장어,전라남도 고흥군 고흥읍 여산당촌길 26-8,음식점 및 주점업,34.6080012,127.2803441
신광수산,전라남도 고흥군 고흥읍 시장길 31,음식점 및 주점업,34.6078603,127.285264
벼리스타,전남 고흥군 도양읍,음식점 및 주점업,34.529502,127.138557
즐거운치과의원,전라남도 전남 고흥군 도양읍 녹동남촌1길,보건업,34.5293848472,127.1380069359
신체교정원,전라남도 고흥군 고흥읍 두원로 5,스포츠 및 오락관련 서비스업,34.6079588,127.2787708
현대알엠씨주식회사,전라남도 고흥군 동강면 동강신정길 11,식료품 제조업,34.7974231364,127.3385822645
썬돈,전라남도 고흥군 도양읍 명동길 9-7,음식점 및 주점업,34.5274294,127.1356168
금성제2주유소,전라남도 고흥군 과역면 우주항공로 3256,소매업; 자동차 제외,34.6879175,127.367945
장선구판장,전라남도 고흥군 대서면 장선길 23-3,음식점 및 주점업,34.7568929,127.2459743
가람정,전라남도 고흥군 도양읍 목넘가는길 2,음식점 및 주점업,34.5276527,127.1344622
